accession,description,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,pval,fdr_bh,xl_id,xl_id_source,xenla_xen_base_gene_names,xenla_gen_bank_description,human_uni_prot_id,human_gene_names_primary,human_gene_names_synonyms,egg_nog_annotation
ENOG411CTZP,ENOG411CTZP,5,5,8,541399.1484375,3256006.34375,1898702.74609375,6.014058856847054,2.588338986978405,0,8,6.112814030652552,2.611836676846508,2.567008290627221,0.005129007989047312,0.5654611347730764,"11761138, 2749954, Xelaev18031990m.g","GenBank, Xenbase_9.1",prkdc.L,"DNA-dependent protein kinase catalytic subunit [Xenopus laevis], DNA-dependent protein kinase [Xenopus laevis], NA",P78527,PRKDC,HYRC HYRC1,"protein kinase, DNA-activated, catalytic polypeptide"
ENOG411CP8E,ENOG411CP8E,9,9,16,2396799.7949218797,7480795.8984375,4938797.846679689,3.121160104522341,1.6420823643305043,2,14,3.396007794806973,1.7638397702915578,2.475400217958236,0.0066543472431905126,0.5654611347730764,"Xelaev18033921m.g, Xelaev18032259m.g",Xenbase_9.1,"ubr5.S, ubr5.L",NA,O95071,UBR5,EDD EDD1 HYD KIAA0896,Ubiquitin protein ligase E3 component n-recognin 5
ENOG411D3RP,ENOG411D3RP,4,4,7,4588633.703125,11367799.3125,7978216.5078125,2.477382168194899,1.3088164400944833,0,7,5.433612471691157,2.4419116754041954,2.401174113778837,0.008171279215454155,0.5654611347730764,163916502,GenBank,NA,LOC100137631 protein [Xenopus laevis],Q9NPJ3,ACOT13,THEM2,Acyl-CoA thioesterase 13
ENOG411CPDJ,ENOG411CPDJ,25,25,55,17789035.921875,65024777.03125,41406906.4765625,3.6553288956648675,1.8700012214436923,14,41,1.9017643650919052,0.9273385025744373,2.371060259159728,0.008868569510221344,0.5654611347730764,"Xelaev18004870m.g, Xelaev18034732m.g",Xenbase_9.1,"dysf-like.L, myof.L",NA,O75923,DYSF,FER1L1,"Dysferlin, limb girdle muscular dystrophy 2B (Autosomal recessive)"
ENOG411CUS7,ENOG411CUS7,14,14,26,5015105.390625,17847268.609375,11431187,3.5587026032868296,1.8313513735078577,5,21,2.4904057161917805,1.3163807933203366,2.3628643361027226,0.009067153316883405,0.5654611347730764,"Xelaev18014744m.g, Xelaev18012398m.g",Xenbase_9.1,"usp9x.S, usp9x.L",NA,"Q93008, O00507","USP9X, USP9Y","DFFRX FAM USP9, DFFRY","ubiquitin specific peptidase 9, X-linked"
ENOG411CV84,ENOG411CV84,6,6,11,1239297.671875,6850919.296875,4045108.484375,5.528065978297108,2.4667748346107605,1,10,3.735608574287671,1.9013432940414927,2.313566456375942,0.010345757727877327,0.5654611347730764,"146327109, 147899156, 147903873, 147905878, 148226733, 148232622, 148234104, 148236175, 288557321, Xelaev18040319m.g, Xelaev18040324m.g, Xelaev18042686m.g, Xelaev18040323m.g, Xelaev18042687m.g, Xelaev18042706m.g, Xelaev18040333m.g, Xelaev18040190m.g, Xelaev18040335m.g, Xelaev18042707m.g, Xelaev18040189m.g, Xelaev18042685m.g, Xelaev18040322m.g, Xelaev18040327m.g, Xelaev18042708m.g, Xelaev18042710m.g, Xelaev18040321m.g, Xelaev18042705m.g, Xelaev18040331m.g, Xelaev18042709m.g, Xelaev18040325m.g, Xelaev18040332m.g, Xelaev18042688m.g, Xelaev18040329m.g","GenBank, Xenbase_9.1","loc100489750.L, loc100487769-like.L, Xelaev18042686m.g, Xelaev18040323m.g, Xelaev18042687m.g, Xelaev18042706m.g, crp.1.L, Xelaev18040190m.g, loc100135384.L, Xelaev18042707m.g, Xelaev18040189m.g, Xelaev18042685m.g, Xelaev18040322m.g, loc496737.L, loc100135384.S, loc100145348.S, loc100489659.L, MGC86526.S, MGC107876.L, loc101730495.S, loc101730495.L, crp.4.L, Xelaev18042688m.g, Xelaev18040329m.g","LOC100049775 protein [Xenopus laevis], uncharacterized protein LOC494784 precursor [Xenopus laevis], uncharacterized protein LOC734692 [Xenopus laevis], C-reactive protein, pentraxin-related, gene 4 precursor [Xenopus laevis], MGC83053 protein precursor [Xenopus laevis], uncharacterized protein LOC734363 [Xenopus laevis], MGC82682 protein [Xenopus laevis], MGC86526 protein precursor [Xenopus laevis], C-reactive protein [Xenopus laevis], NA","P02743, A8MV57","APCS, MPTX1","PTX2, MPTX","amyloid P component, serum"
ENOG411CX8K,ENOG411CX8K,23,23,48,32358984.2739258,88556246.640625,60457615.4572754,2.736681902342089,1.4524277530866223,12,36,1.9331121293516618,0.9509253228920531,2.287581076271246,0.011080964484201946,0.5654611347730764,"157423663, 161611784, Xelaev18012918m.g, Xelaev18015491m.g","GenBank, Xenbase_9.1","ranbp2.L, ranbp2.S","LOC100126652 protein [Xenopus laevis], LOC100127327 protein [Xenopus laevis], NA","P49792, Q7Z3J3, A6NKT7, Q99666, O14715, P0DJD1, P0DJD0","RANBP2, RGPD4, RGPD3, RGPD5; RGPD6, RGPD8, RGPD2, RGPD1","NUP358, RGP4, RGP3, RANBP2L1 RGP5 RGP7 RGPD7; RANBP2L2 RGP6, RANBP2ALPHA RANBP2L1 RANBP2L3, RANBP2L2 RGP2, RANBP2L6 RGP1",RAN binding protein 2
ENOG411CRY0,ENOG411CRY0,47,47,119,41569540.4755859,110256291.31640631,75912915.89599611,2.652333657168057,1.4072622744184993,36,83,1.5419711068312743,0.6247757325540059,2.2800376616937705,0.011302727444609134,0.5654611347730764,"125858515, 163916492, 56789660, 67678024, Xelaev18018012m.g, Xelaev18020799m.g, Xelaev18004235m.g, Xelaev18008634m.g","GenBank, Xenbase_9.1","tln2.L, tln2.S, tln1.S, Xelaev18008634m.g","LOC100037170 protein [Xenopus laevis], LOC496216 protein [Xenopus laevis], LOC733283 protein [Xenopus laevis], NA","Q9Y4G6, Q9Y490","TLN2, TLN1","KIAA0320, KIAA1027 TLN",K06271 talin
ENOG411CUJY,ENOG411CUJY,16,16,32,10379721.41894532,33270340.53125,21825030.97509766,3.205321143833799,1.6804689089207145,7,25,2.2074050666245326,1.1423513935452876,2.275889460872562,0.011426313220820869,0.5654611347730764,"Xelaev18009233m.g, Xelaev18013708m.g, Xelaev18005498m.g, Xelaev18016163m.g",Xenbase_9.1,"lrba.S, Xetrov90006664m.L, lrba.L, Xetrov90006664m.S",NA,"Q8NFP9, P50851","NBEA, LRBA","BCL8B KIAA1544 LYST2, BGL CDC4L LBA","LPS-responsive vesicle trafficking, beach and anchor containing"
ENOG411CTZS,ENOG411CTZS,13,16,32,8938163.435546879,40967796.4375,24952979.936523438,4.583469158168666,2.1964399657299594,7,25,2.2074050666245326,1.1423513935452876,2.275889460872562,0.011426313220820869,0.5654611347730764,"147898867, 147901187, 147901835, 147906825, 148224373, 148234146, 32450315, Xelaev18039961m.g, Xelaev18039391m.g, Xelaev18024172m.g, Xelaev18041034m.g, Xelaev18042575m.g, Xelaev18026642m.g","GenBank, Xenbase_9.1","actn1.L, actn4.L, actn3.S, actn1.S, actn4.S, Xelaev18026642m.g","actinin, alpha 2 [Xenopus laevis], MGC79035 protein [Xenopus laevis], actinin, alpha 4 [Xenopus laevis], actinin, alpha 3 [Xenopus laevis], actinin, alpha 1 [Xenopus laevis], uncharacterized protein LOC431885 [Xenopus laevis], Unknown (protein for IMAGE:6873085) [Xenopus laevis], NA","P12814, P35609, O43707, Q08043","ACTN1, ACTN2, ACTN4, ACTN3",NA,"actinin, alpha"
ENOG411CU55,ENOG411CU55,9,9,32,87059504.1777344,274026006.125,180542755.1513672,3.1475714077760917,1.6542391081987335,7,25,2.2074050666245326,1.1423513935452876,2.275889460872562,0.011426313220820869,0.5654611347730764,"120577551, 148226998, 160708003, 163915549, 28278096, 284520901, 46249628, 52789298, Xelaev18006533m.g, Xelaev18006534m.g","GenBank, Xenbase_9.1","grhpr.1.L, loc594879.L","Unknown (protein for IMAGE:7007727) [Xenopus laevis], glyoxylate reductase/hydroxypyruvate reductase, gene 1 [Xenopus laevis], glyoxylate reductase/hydroxypyruvate reductase, gene 2 [Xenopus laevis], Unknown (protein for IMAGE:7008158) [Xenopus laevis], LOC398508 protein [Xenopus laevis], glyoxylate reductase/hydroxypyruvate reductase-like protein [Xenopus laevis], LOC494855 protein [Xenopus laevis], NA",Q9UBQ7,GRHPR,GLXR,Glyoxylate reductase hydroxypyruvate reductase
ENOG411CR17,ENOG411CR17,5,5,6,937605.88671875,5149512.4375,3043559.162109375,5.4921929463575125,2.4573823097281853,0,6,4.754410912729763,2.2492665974617996,2.223016125838122,0.013107356308425673,0.5654611347730764,"147899678, 148232138, Xelaev18005003m.g, Xelaev18034486m.g, Xelaev18017351m.g, Xelaev18021330m.g, Xelaev18036811m.g, Xelaev18008842m.g","GenBank, Xenbase_9.1","kdm3a.L, jmjd1c.L, kdm3b.L, kdm3b.S, jmjd1c.S, kdm3a.S","lysine-specific demethylase 3A-B [Xenopus laevis], lysine-specific demethylase 3A-A [Xenopus laevis], NA","Q15652, Q7LBC6, Q9Y4C1","JMJD1C, KDM3B, KDM3A","JHDM2C KIAA1380 TRIP8, C5orf7 JHDM2B JMJD1B KIAA1082, JHDM2A JMJD1 JMJD1A KIAA0742 TSGA",lysine (K)-specific demethylase
ENOG411CU7W,ENOG411CU7W,4,4,6,2280851.38671875,8070104.5625,5175477.974609375,3.538198327822539,1.8230149181659414,0,6,4.754410912729763,2.2492665974617996,2.223016125838122,0.013107356308425673,0.5654611347730764,"148238223, Xelaev18020428m.g","GenBank, Xenbase_9.1",map2k1.S,"dual specificity mitogen-activated protein kinase kinase 1 [Xenopus laevis], NA","Q02750, P36507, A0A1B0GUL7","MAP2K1, MAP2K2, NA","MEK1 PRKMK1, MEK2 MKK2 PRKMK2, NA",mitogen-activated protein kinase kinase
ENOG411CWHY,ENOG411CWHY,3,3,6,32130.7392578125,284262.015625,158196.37744140625,8.847042495478297,3.1451952529126626,0,6,4.754410912729763,2.2492665974617996,2.223016125838122,0.013107356308425673,0.5654611347730764,"Xelaev18003265m.g, Xelaev18029588m.g",Xenbase_9.1,"dis3l2.L, dis3l2.S",NA,Q8IYB7,DIS3L2,FAM6A,DIS3 mitotic control homolog (S. cerevisiae)-like 2
ENOG411CW2T,ENOG411CW2T,3,3,6,781138.78125,2880801.453125,1830970.1171875,3.687950876686805,1.882819439272585,0,6,4.754410912729763,2.2492665974617996,2.223016125838122,0.013107356308425673,0.5654611347730764,"Xelaev18011958m.g, Xelaev18014642m.g, Xelaev18012344m.g",Xenbase_9.1,"loc100494487.L, loc100494487.S, mov10.L",NA,Q9HCE1,MOV10,KIAA1631,"Mov10, Moloney leukemia virus 10, homolog (mouse)"
ENOG411CR8M,ENOG411CR8M,4,4,6,7029496.28125,14337089.59375,10683292.9375,2.0395614451055017,1.0282589713195365,0,6,4.754410912729763,2.2492665974617996,2.223016125838122,0.013107356308425673,0.5654611347730764,Xelaev18027822m.g,Xenbase_9.1,ppp1r7.L,NA,Q15435,PPP1R7,SDS22,protein phosphatase 1 regulatory subunit 7
ENOG411D7PK,ENOG411D7PK,1,11,109,794479780.070313,1644325302.75,1219402541.4101565,2.0696880449298205,1.0494133329668627,33,76,1.5381917658831583,0.6212353748487571,2.1761612649983335,0.014771602088050612,0.5654611347730764,"113228, 113245, 113254, 148223409, 148224327, 148236515, Xelaev18041013m.g","GenBank, Xenbase_9.1",actc1.S,"RecName: Full=Actin, alpha cardiac muscle 1; AltName: Full=Actin alpha 1; AltName: Full=Alpha-cardiac actin; Flags: Precursor, RecName: Full=Actin, alpha skeletal muscle 2; AltName: Full=Actin alpha 2; Short=alpha2; Short=alpha2p; Flags: Precursor, RecName: Full=Actin, alpha skeletal muscle 3; AltName: Full=Actin alpha 3; AltName: Full=Femoral (alpha 3) actin; Flags: Precursor, uncharacterized protein LOC780761 [Xenopus laevis], uncharacterized protein LOC779096 [Xenopus laevis], similar to actin alpha [Xenopus laevis], NA","P68032, P68133","ACTC1, ACTA1","ACTC, ACTA",ACTIN
ENOG411CY4Q,ENOG411CY4Q,6,6,14,4082724.5625,13202222.58203125,8642473.572265625,3.2336794657406553,1.6931766806344943,2,12,2.943206755499377,1.5573888928241315,2.161050738809852,0.015345710113672948,0.5654611347730764,"Xelaev18044172m.g, Xelaev18046790m.g",Xenbase_9.1,"tbcd.L, tbcd.S",NA,Q9BTW9,TBCD,KIAA0988 SSD1 TFCD,tubulin folding cofactor D
ENOG411CUKV,ENOG411CUKV,7,7,14,592078.966796875,2260680.0078125,1426379.4873046875,3.818206919328167,1.9328952885458335,2,12,2.943206755499377,1.5573888928241315,2.161050738809852,0.015345710113672948,0.5654611347730764,"111185527, 124481898, 125858544, 147902627, 148229642, 351722080, 50415403, 51703510, 51704144, 68533947, Xelaev18001628m.g, Xelaev18001648m.g, Xelaev18047951m.g, Xelaev18036220m.g, Xelaev18001975m.g, Xelaev18001671m.g, Xelaev18047956m.g, Xelaev18036221m.g, Xelaev18001974m.g, Xelaev18036219m.g","GenBank, Xenbase_9.1","gbp4.L, Xelaev18001648m.g, gbp7.S, Xelaev18036220m.g, Xelaev18001975m.g, gbp6.1, gbp5.S, Xelaev18036221m.g, Xelaev18001974m.g, gbp2.L","LOC398692 protein [Xenopus laevis], Unknown (protein for MGC:160143) [Xenopus laevis], LOC100037176 protein [Xenopus laevis], guanylate binding protein 2, interferon-inducible [Xenopus laevis], guanylate binding protein 4 [Xenopus laevis], guanylate binding protein 7 [Xenopus laevis], Unknown (protein for MGC:82969) [Xenopus laevis], MGC82824 protein [Xenopus laevis], LOC446944 protein [Xenopus laevis], NA","Q96PP9, Q6ZN66, Q8N8V2","GBP4, GBP6, GBP7",GBP4L,Guanylate binding protein
ENOG411CRRE,ENOG411CRRE,6,6,10,2665478.38671875,10785239.28125,6725358.833984375,4.046267767538275,2.0165917954565256,1,9,3.3960077948069736,1.763839770291558,2.139435894587294,0.016200191254742608,0.5654611347730764,"148231408, Xelaev18014986m.g","GenBank, Xenbase_9.1",sars.S,"seryl-tRNA synthetase [Xenopus laevis], NA",P49591,SARS,SERS,seryl-tRNA synthetase
ENOG411CQ59,ENOG411CQ59,6,6,10,1272592.6328125,4941235.09375,3106913.86328125,3.882809758869653,1.9571010230694916,1,9,3.3960077948069736,1.763839770291558,2.139435894587294,0.016200191254742608,0.5654611347730764,"148233245, 148236277, 62896385, Xelaev18047703m.g","GenBank, Xenbase_9.1",xpo6.S,"exportin-6-A [Xenopus laevis], exportin-6-B [Xenopus laevis], Exportin 6 [Xenopus laevis], NA",Q96QU8,XPO6,KIAA0370 RANBP20,Exportin 6
ENOG411CZ90,ENOG411CZ90,3,3,5,1969468.828125,7585750.6875,4777609.7578125,3.8516733949640054,1.9454853741464084,0,5,4.075209353768368,2.0268741761253515,2.0292910760131386,0.02121432586083981,0.5654611347730764,"148229868, 148230699, Xelaev18021806m.g","GenBank, Xenbase_9.1",api5.L,"apoptosis inhibitor 5-A [Xenopus laevis], apoptosis inhibitor 5-B [Xenopus laevis], NA",Q9BZZ5,API5,NA,Apoptosis inhibitor 5
ENOG411CW2A,ENOG411CW2A,3,3,5,32130.7392578125,437387.59375,234759.16650390625,13.612746044853308,3.7668862201918394,0,5,4.075209353768368,2.0268741761253515,2.0292910760131386,0.02121432586083981,0.5654611347730764,"Xelaev18041001m.g, Xelaev18040017m.g",Xenbase_9.1,"hectd1.S, hectd1.L",NA,Q9ULT8,HECTD1,KIAA1131,HECT domain containing E3 ubiquitin protein ligase 1
ENOG411CTPA,ENOG411CTPA,3,3,5,32130.7392578125,1826366.28125,929248.51025390625,56.84171368095504,5.8288781449245475,0,5,4.075209353768368,2.0268741761253515,2.0292910760131386,0.02121432586083981,0.5654611347730764,"12007268, 49114871, Xelaev18026711m.g, Xelaev18028962m.g","GenBank, Xenbase_9.1","akap12.L, akap12.S","gravin-like [Xenopus laevis], Unknown (protein for IMAGE:4958048) [Xenopus laevis], NA",Q02952,AKAP12,AKAP250,A kinase (PRKA) anchor protein 12
ENOG411CY30,ENOG411CY30,3,3,5,973017.052734375,4620961.21875,2796989.1357421875,4.7491060981553845,2.2476559873128634,0,5,4.075209353768368,2.0268741761253515,2.0292910760131386,0.02121432586083981,0.5654611347730764,"148228420, 28422157, Xelaev18003366m.g, Xelaev18000373m.g, Xelaev18003528m.g","GenBank, Xenbase_9.1","Xelaev18003366m.g, Xelaev18000373m.g, Xelaev18003528m.g","similar to nucleoporin 214kDa [Xenopus laevis], MGC52541 protein [Xenopus laevis], NA",P35658,NUP214,CAIN CAN KIAA0023,nucleoporin 214kDa
ENOG411D0XC,ENOG411D0XC,3,3,5,761353.96484375,3155495.3125,1958424.638671875,4.144583804916011,2.051227234958508,0,5,4.075209353768368,2.0268741761253515,2.0292910760131386,0.02121432586083981,0.5654611347730764,"114306822, 11493740, Xelaev18007393m.g","GenBank, Xenbase_9.1",pole.L,"DNA polymerase epsilon catalytic subunit [Xenopus laevis], DNA polymerase epsilon [Xenopus laevis], NA",Q07864,POLE,POLE1,"polymerase (DNA directed), epsilon, catalytic subunit"
ENOG411CRWG,ENOG411CRWG,9,9,13,2433457.3857421903,9573734.515625,6003595.950683596,3.9342108769679838,1.9760742893404597,2,11,2.7168062358455787,1.4419116754041954,1.9908508196710053,0.023248645191819177,0.5654611347730764,"Xelaev18027676m.g, Xelaev18029774m.g",Xenbase_9.1,"gmps.L, gmps.S",NA,P49915,GMPS,NA,guanine monphosphate synthetase
ENOG411CYA1,ENOG411CYA1,6,6,9,2128615.2265625,8560339.078125,5344477.15234375,4.021553060084555,2.0077527549827865,1,8,3.056407015326276,1.6118366768465078,1.9525935898063327,0.025433885668299096,0.5654611347730764,"11493738, 171846445, 213623734, 67678116, 83318408, Xelaev18014510m.g","GenBank, Xenbase_9.1",pola1.S,"DNA polymerase alpha [Xenopus laevis], LOC398200 protein [Xenopus laevis], Unknown (protein for IMAGE:6868894) [Xenopus laevis], Unknown (protein for IMAGE:6640027) [Xenopus laevis], NA",P09884,POLA1,POLA,"polymerase (DNA directed), alpha 1, catalytic subunit"
ENOG411CPDN,ENOG411CPDN,4,4,9,1932686.40234375,8201453.796875,5067070.099609375,4.243551249146875,2.085272100913217,1,8,3.056407015326276,1.6118366768465078,1.9525935898063327,0.025433885668299096,0.5654611347730764,"147898917, 148225254, Xelaev18012670m.g","GenBank, Xenbase_9.1",aldh3a2.L,"aldehyde dehydrogenase 3 family, member A2 [Xenopus laevis], uncharacterized protein LOC496316 [Xenopus laevis], NA","P51648, P30838","ALDH3A2, ALDH3A1","ALDH10 FALDH, ALDH3",Aldehyde dehydrogenase 3 family member
ENOG411CVSF,ENOG411CVSF,13,13,26,7863925.24609375,28044215.671875,17954070.458984375,3.5661854346600523,1.8343817222306982,6,20,2.037604676884184,1.0268741761253515,1.9095957857295787,0.028092639077543627,0.5654611347730764,"418252, Xelaev18000573m.g","GenBank, Xenbase_9.1",vcl.S,"RecName: Full=Vinculin; AltName: Full=Metavinculin, NA",P18206,VCL,NA,Vinculin
ENOG411CUW5,ENOG411CUW5,8,8,16,1842603.287109375,5460744.625,3651673.9560546875,2.963602997564747,1.5673521980466831,3,13,2.3772054563648815,1.2492665974617996,1.8976956754783902,0.028868091289786464,0.5654611347730764,"148233670, 52354687, Xelaev18039848m.g, Xelaev18041102m.g","GenBank, Xenbase_9.1","dlgap5.L, dlgap5.S","uncharacterized protein LOC735156 [Xenopus laevis], LOC494809 protein [Xenopus laevis], NA",Q15398,DLGAP5,DLG7 KIAA0008,"discs, large (Drosophila) homolog-associated protein 5"
ENOG411CT9G,ENOG411CT9G,15,15,29,19392858.07812501,53327262.953125,36360060.51562501,2.749840314320545,1.459347842482082,7,22,1.9527044820140096,0.9654736314612083,1.88480099503505,0.02972835529299417,0.5654611347730764,Xelaev18047090m.g,Xenbase_9.1,rif1.S,NA,Q5UIP0,RIF1,NA,RAP1 interacting factor homolog (yeast)
