accession,ctrl_PSMs_b1,ctrl_PSMs_b2,exp_PSMs_b1,exp_PSMs_b2,PSM_zscore_b1,PSM_zscore_b2,PSM_log2fc_b1,PSM_log2fc_b2,mean_ctrl_PSMs,mean_exp_PSMs,joint_zscore,pval,fdr_bh,description,xl_id,xl_id_source,xenla_xen_base_gene_names,xenla_gen_bank_description,human_uni_prot_id,human_gene_names_primary,human_gene_names_synonyms,egg_nog_annotation,conf_90,conf_95,conf_99
ENOG411CPDJ,0,14,5,41,2.1513446545633608,2.371060259159728,2.362773705015416,0.9273385025744373,7,23,3.1978231817649587,6.923457778563492e-4,0.14570731597613168,ENOG411CPDJ,"Xelaev18004870m.g, Xelaev18034732m.g",Xenbase_9.1,"dysf-like.L, myof.L",NA,O75923,DYSF,FER1L1,"Dysferlin, limb girdle muscular dystrophy 2B (Autosomal recessive)",FALSE,FALSE,FALSE
ENOG411CSJ2,0,0,6,4,2.3566936998709918,1.8150211692722902,2.585166126351864,1.763839770291558,0,5,2.9498478731479647,0.001589652156708498,0.30667039523168105,ENOG411CSJ2,"116487835, 120577674, 148226096, Xelaev18029827m.g, Xelaev18027736m.g, Xelaev18019556m.g, Xelaev18027735m.g, Xelaev18029826m.g, Xelaev18019555m.g, Xelaev18019553m.g, Xelaev18001039m.g, Xelaev18001041m.g, Xelaev18019554m.g","GenBank, Xenbase_9.1","plscr1.S, plscr1.L, plscr3.L, plscr2.L, plscr2.S, Xelaev18019555m.g, loc100488434.L, loc100488434.S, plscr3.S, loc100489081.L","Plscr2 protein [Xenopus laevis], LOC100037052 protein [Xenopus laevis], phospholipid scramblase 1 [Xenopus laevis], NA","O15162, Q9NRY7, Q9NRY6","PLSCR1, PLSCR2, PLSCR3",NA,Phospholipid scramblase,FALSE,FALSE,FALSE
ENOG411CUJ8,8,0,22,4,2.2138700418074198,1.8150211692722902,1.1314481589089607,1.763839770291558,4,13,2.848856296017345,0.0021938346884874615,0.39067133106526714,ENOG411CUJ8,"148228386, 27924448, Xelaev18012993m.g","GenBank, Xenbase_9.1",txndc9.L,"thioredoxin domain containing 9 [Xenopus laevis], Apacd-prov protein [Xenopus laevis], NA",O14530,TXNDC9,APACD,thioredoxin domain containing 9,FALSE,FALSE,FALSE
ENOG411CX51,2,1,13,5,2.6458804579068294,1.2797946331381984,2.000203625630708,1.0268741761253515,1.5,9,2.775871477613056,0.002752698329307128,0.4551783308818573,ENOG411CX51,"147907126, Xelaev18047192m.g, Xelaev18044727m.g","GenBank, Xenbase_9.1","agps.S, agps.L","alkyldihydroxyacetonephosphate synthase, peroxisomal [Xenopus laevis], NA",O00116,AGPS,NA,alkylglycerone phosphate synthase,FALSE,FALSE,FALSE
ENOG411CWHY,0,0,3,6,1.6664050192363276,2.223016125838122,1.7778112042942602,2.2492665974617996,0,4.5,2.75023606657249,0.002977617245588404,0.45954559490247704,ENOG411CWHY,"Xelaev18003265m.g, Xelaev18029588m.g",Xenbase_9.1,"dis3l2.L, dis3l2.S",NA,Q8IYB7,DIS3L2,FAM6A,DIS3 mitotic control homolog (S. cerevisiae)-like 2,FALSE,FALSE,FALSE
ENOG411CWPF,0,0,9,1,2.886398888047069,0.9074626683455742,3.099739299181622,0.44191167540419546,0,5,2.682665233408187,0.0036519030679896002,0.5283847251497453,ENOG411CWPF,"148227480, 148228392, 28278283, Xelaev18028769m.g, Xelaev18026124m.g","GenBank, Xenbase_9.1","epcam.S, epcam.L","epithelial cell adhesion molecule precursor [Xenopus laevis], epithelial cell adhesion molecule [Xenopus laevis], MGC54031 protein [Xenopus laevis], NA","P16422, P09758","EPCAM, TACSTD2","GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1, GA733-1 M1S1 TROP2",Epithelial cell adhesion molecule,FALSE,FALSE,FALSE
ENOG411CWYZ,5,1,18,5,2.4328951996535504,1.2797946331381984,1.4407762170166893,1.0268741761253515,3,11.5,2.6252681572093945,0.004329037482646409,0.5895130454309669,ENOG411CWYZ,"148228702, 4630799, Xelaev18044412m.g","GenBank, Xenbase_9.1",xrcc5.L,"X-ray repair complementing defective repair in Chinese hamster cells 5 [Xenopus laevis], human Ku80 autoantigen homologue [Xenopus laevis], NA",P13010,XRCC5,G22P2,X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining),FALSE,FALSE,FALSE
ENOG411CW0Z,5,0,17,2,2.2824164081163074,1.2833685996849322,1.3627737050154163,1.0268741761253515,2.5,9.5,2.5213907592695826,0.005844598204909791,0.7330637207885959,ENOG411CW0Z,"148229066, Xelaev18030721m.g, Xelaev18032859m.g","GenBank, Xenbase_9.1","cul2.L, cul2.S","cullin 2 [Xenopus laevis], NA",Q13617,CUL2,NA,Cullin 2,FALSE,FALSE,FALSE
ENOG411CT9G,0,7,3,22,1.6664050192363276,1.88480099503505,1.7778112042942602,0.9654736314612083,3.5,12.5,2.511081854081742,0.006018089232007719,0.7330637207885959,ENOG411CT9G,Xelaev18047090m.g,Xenbase_9.1,rif1.S,NA,Q5UIP0,RIF1,NA,RAP1 interacting factor homolog (yeast),FALSE,FALSE,FALSE
ENOG411CYA1,4,1,11,8,1.5653059206452433,1.9525935898063327,1.0408456101280537,1.6118366768465078,2.5,9.5,2.487530599373145,0.0064316693623501535,0.7330637207885959,ENOG411CYA1,"11493738, 171846445, 213623734, 67678116, 83318408, Xelaev18014510m.g","GenBank, Xenbase_9.1",pola1.S,"DNA polymerase alpha [Xenopus laevis], LOC398200 protein [Xenopus laevis], Unknown (protein for IMAGE:6868894) [Xenopus laevis], Unknown (protein for IMAGE:6640027) [Xenopus laevis], NA",P09884,POLA1,POLA,"polymerase (DNA directed), alpha 1, catalytic subunit",FALSE,FALSE,FALSE
ENOG411CQ5J,2,0,9,3,1.9292613130965959,1.5718267750523425,1.5147767984604663,1.4419116754041954,1,6,2.475643128661559,0.006649822089227004,0.7330637207885959,ENOG411CQ5J,"148223471, 148230452, Xelaev18046381m.g","GenBank, Xenbase_9.1",cox4i2.S,"uncharacterized protein LOC379593 [Xenopus laevis], cytochrome c oxidase subunit IV isoform 2 (lung) [Xenopus laevis], NA",Q96KJ9,COX4I2,COX4L2,cytochrome c oxidase subunit IV isoform 2 (lung),FALSE,FALSE,FALSE
ENOG411DDN4,18,3,37,10,2.0572919742303104,1.34997902745191,0.7778112042942601,0.9013432940414928,10.5,23.5,2.409304430629778,0.007991479805050264,0.74926271894957,ENOG411DDN4,"147906893, 148233078",GenBank,NA,"phosphoglycerate mutase 1 (brain) [Xenopus laevis], MGC82549 protein [Xenopus laevis]","P18669, Q8N0Y7","PGAM1, PGAM4","PGAMA, PGAM3",PGAM,FALSE,FALSE,FALSE
ENOG411CYMK,44,24,71,53,1.7334267152037819,1.6466131169602214,0.4558831094068978,0.5529429877929392,34,62,2.3900490860038066,0.008423060562357539,0.74926271894957,ENOG411CYMK,"122936422, 125858794, 147901093, 160773913, 44969357, Xelaev18038372m.g, Xelaev18041589m.g","GenBank, Xenbase_9.1","rpl7a.L, rpl7a.S","LOC100037086 protein [Xenopus laevis], Unknown (protein for MGC:160337) [Xenopus laevis], ribosomal protein L7a [Xenopus laevis], NA",P62424,RPL7A,SURF-3 SURF3,Ribosomal protein L7A,FALSE,FALSE,FALSE
ENOG411D67J,26,3,45,12,1.6511389300712271,1.7255335490281247,0.5464856581878041,1.1423513935452876,14.5,28.5,2.387668007817142,0.008477825418872815,0.74926271894957,ENOG411D67J,"147905368, Xelaev18005217m.g, Xelaev18008996m.g","GenBank, Xenbase_9.1","rpl9.L, rpl9.S","ribosomal protein L9 [Xenopus laevis], NA",P32969,RPL9; RPL9P7; RPL9P8; RPL9P9,; ; ;,Ribosomal protein L9,FALSE,FALSE,FALSE
ENOG411CRNI,1,0,6,3,1.7546721603466577,1.5718267750523425,1.5851661263518642,1.4419116754041954,0.5,4.5,2.3521899548304637,0.009331620682158554,0.74926271894957,ENOG411CRNI,"115527879, 68534856, Xelaev18031057m.g","GenBank, Xenbase_9.1",ngly1.L,"LOC733299 protein [Xenopus laevis], NA",Q96IV0,NGLY1,PNG1,N-glycanase 1,FALSE,FALSE,FALSE
ENOG411CQ47,94,16,142,35,1.9797312978219024,1.305827973139864,0.36782693274170164,0.5243738355961683,55,88.5,2.3232412404873943,0.010083098224142245,0.74926271894957,ENOG411CQ47,"147903725, Xelaev18025457m.g, Xelaev18023410m.g","GenBank, Xenbase_9.1","agl.S, agl.L","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Xenopus laevis], NA",P35573,AGL,GDE,"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",FALSE,FALSE,FALSE
ENOG411CU7W,9,0,16,6,1.0443509954271835,2.223016125838122,0.5433459506572371,2.2492665974617996,4.5,11,2.310377448072666,0.010433633261693323,0.74926271894957,ENOG411CU7W,"148238223, Xelaev18020428m.g","GenBank, Xenbase_9.1",map2k1.S,"dual specificity mitogen-activated protein kinase kinase 1 [Xenopus laevis], NA","Q02750, P36507, A0A1B0GUL7","MAP2K1, MAP2K2, NA","MEK1 PRKMK1, MEK2 MKK2 PRKMK2, NA",mitogen-activated protein kinase kinase,FALSE,FALSE,FALSE
ENOG411CX8K,0,12,1,36,0.9620881951337295,2.287581076271246,0.7778112042942601,0.9509253228920531,6,18.5,2.2978631784240053,0.010784788787499581,0.74926271894957,ENOG411CX8K,"157423663, 161611784, Xelaev18012918m.g, Xelaev18015491m.g","GenBank, Xenbase_9.1","ranbp2.L, ranbp2.S","LOC100126652 protein [Xenopus laevis], LOC100127327 protein [Xenopus laevis], NA","P49792, Q7Z3J3, A6NKT7, Q99666, O14715, P0DJD1, P0DJD0","RANBP2, RGPD4, RGPD3, RGPD5; RGPD6, RGPD8, RGPD2, RGPD1","NUP358, RGP4, RGP3, RANBP2L1 RGP5 RGP7 RGPD7; RANBP2L2 RGP6, RANBP2ALPHA RANBP2L1 RANBP2L3, RANBP2L2 RGP2, RANBP2L6 RGP1",RAN binding protein 2,FALSE,FALSE,FALSE
ENOG411CSYG,2,0,11,1,2.3083907007117186,0.9074626683455742,1.7778112042942602,0.44191167540419546,1,6,2.2739517245620164,0.011484444622191886,0.74926271894957,ENOG411CSYG,"148921625, Xelaev18047536m.g, Xelaev18045214m.g","GenBank, Xenbase_9.1","c16orf62.S, c16orf62.L","LOC100101331 protein [Xenopus laevis], NA",Q7Z3J2,VPS35L,C16orf62,Chromosome 16 open reading frame 62,FALSE,FALSE,FALSE
ENOG411DFP8,0,0,2,4,1.3606060871331798,1.8150211692722902,1.362773705015416,1.763839770291558,0,3,2.2455075675251384,0.012367783487697825,0.74926271894957,ENOG411DFP8,"322967577, 49118939, 68533750, 80476807, Xelaev18035128m.g","GenBank, Xenbase_9.1",patl1.L,"RecName: Full=Protein PAT1 homolog 1; AltName: Full=PAT1-like protein 1; AltName: Full=Protein PAT1 homolog b; Short=Pat1b; Short=xPat1b, LOC443620 protein [Xenopus laevis], NA",NA,NA,NA,protein associated with topoisomerase II homolog 1 (yeast),FALSE,FALSE,FALSE
ENOG411CV4P,51,20,86,39,2.145799865618855,0.9560600188260273,0.5203149820018962,0.37152234751279756,35.5,62.5,2.193346158581497,0.014141224175632587,0.74926271894957,ENOG411CV4P,"147898584, 148233066, 224829, 27694877, 313756, 65045, 65082",GenBank,NA,"60S ribosomal protein L4-B [Xenopus laevis], 60S ribosomal protein L4-A [Xenopus laevis], ribosomal protein L1b, Rpl4-b-prov protein [Xenopus laevis], L1a protein [Xenopus laevis], ribosomal protein L1 [Xenopus laevis], unnamed protein product [Xenopus laevis]",P36578,RPL4,RPL1,Ribosomal protein L4,FALSE,FALSE,FALSE
ENOG411CR8M,9,0,15,6,0.8694683643398249,2.223016125838122,0.4558831094068978,2.2492665974617996,4.5,10.5,2.1867167537190495,0.014381603896623121,0.74926271894957,ENOG411CR8M,Xelaev18027822m.g,Xenbase_9.1,ppp1r7.L,NA,Q15435,PPP1R7,SDS22,protein phosphatase 1 regulatory subunit 7,FALSE,FALSE,FALSE
ENOG411CUDQ,4,2,16,5,2.4314003075378663,0.6546365370617213,1.5433459506572371,0.44191167540419546,3,10.5,2.182157579807904,0.014548952417974857,0.74926271894957,ENOG411CUDQ,"148234287, Xelaev18026242m.g","GenBank, Xenbase_9.1",bpnt1.L,"3'(2'), 5'-bisphosphate nucleotidase 1 [Xenopus laevis], NA",O95861,BPNT1,NA,"3'(2'), 5'-bisphosphate nucleotidase 1",FALSE,FALSE,FALSE
ENOG411CRA7,2,0,7,3,1.4914318452643356,1.5718267750523425,1.1928487035731041,1.4419116754041954,1,5,2.1660509429540706,0.01515364716032413,0.74926271894957,ENOG411CRA7,"147902222, Xelaev18032813m.g","GenBank, Xenbase_9.1",rheb.S,"Ras homolog enriched in brain [Xenopus laevis], NA",Q15382,RHEB,RHEB2,Ras homolog enriched in brain,FALSE,FALSE,FALSE
ENOG411CQ4G,0,0,5,1,2.1513446545633608,0.9074626683455742,2.362773705015416,0.44191167540419546,0,3,2.1629034003719774,0.015274305096605765,0.74926271894957,ENOG411CQ4G,169642713,GenBank,NA,LOC100158293 protein [Xenopus laevis],O75312,ZPR1,ZNF259,zinc finger protein 259,FALSE,FALSE,FALSE
ENOG411CRWG,11,2,19,11,1.067647649543093,1.9908508196710053,0.5147767984604663,1.4419116754041954,6.5,15,2.162685007829964,0.015282707486565971,0.74926271894957,ENOG411CRWG,"Xelaev18027676m.g, Xelaev18029774m.g",Xenbase_9.1,"gmps.L, gmps.S",NA,P49915,GMPS,NA,guanine monphosphate synthetase,FALSE,FALSE,FALSE
ENOG411CV1E,1,0,4,4,1.215594085614147,1.8150211692722902,1.0997392991816224,1.763839770291558,0.5,4,2.142968597897597,0.016057809983474832,0.74926271894957,ENOG411CV1E,"189442677, 50415052, Xelaev18013967m.g, Xelaev18002023m.g, Xelaev18016499m.g, Xelaev18000698m.g","GenBank, Xenbase_9.1","Xelaev18013967m.g, Xelaev18002023m.g, Xelaev18016499m.g, Xelaev18000698m.g","LOC100174804 protein [Xenopus laevis], Nup98 protein [Xenopus laevis], NA",P52948,NUP98,ADAR2,nucleoporin 98kDa,FALSE,FALSE,FALSE
ENOG411CY30,0,0,1,5,0.9620881951337295,2.0292910760131386,0.7778112042942601,2.0268741761253515,0,3,2.115224567728822,0.01720540599576864,0.74926271894957,ENOG411CY30,"148228420, 28422157, Xelaev18003366m.g, Xelaev18000373m.g, Xelaev18003528m.g","GenBank, Xenbase_9.1","Xelaev18003366m.g, Xelaev18000373m.g, Xelaev18003528m.g","similar to nucleoporin 214kDa [Xenopus laevis], MGC52541 protein [Xenopus laevis], NA",P35658,NUP214,CAIN CAN KIAA0023,nucleoporin 214kDa,FALSE,FALSE,FALSE
ENOG411CRQM,4,0,9,4,1.147680956362039,1.8150211692722902,0.7778112042942601,1.763839770291558,2,6.5,2.0949467636718326,0.01808786258323913,0.74926271894957,ENOG411CRQM,"147906378, 148236420, Xelaev18045940m.g","GenBank, Xenbase_9.1",rpl19.S,"ribosomal protein L19 [Xenopus laevis], 60S ribosomal protein L19 [Xenopus laevis], NA",P84098,RPL19,NA,ribosomal protein L19,FALSE,FALSE,FALSE
ENOG411CQCJ,0,0,3,2,1.6664050192363276,1.2833685996849322,1.7778112042942602,1.0268741761253515,0,2.5,2.0858049289044054,0.018498148385680768,0.74926271894957,ENOG411CQCJ,"11527245, Xelaev18035684m.g, Xelaev18037537m.g","GenBank, Xenbase_9.1","cdc42.L, cdc42.S","Rho GTPase Cdc42 [Xenopus laevis], NA",P60953,CDC42,NA,"cell division cycle 42 (GTP binding protein, 25kDa)",FALSE,FALSE,FALSE
ENOG411DDJV,11,0,23,2,1.6630174431469675,1.2833685996849322,0.7778112042942601,1.0268741761253515,5.5,12.5,2.083409550879834,0.018606954217122995,0.74926271894957,ENOG411DDJV,"120538008, 147901476, 51593482, 71679806, Xelaev18027340m.g, Xelaev18029511m.g, Xelaev18027341m.g","GenBank, Xenbase_9.1","gsta1.L, gsta1.S, gsta4.L","LOC100036921 protein [Xenopus laevis], glutathione S-transferase alpha 4 [Xenopus laevis], LOC446920 protein [Xenopus laevis], Unknown (protein for MGC:114977) [Xenopus laevis], NA",NA,NA,NA,Glutathione S-transferase,FALSE,FALSE,FALSE
ENOG411CRY0,10,36,15,83,0.6258219301797713,2.2800376616937705,0.3183795856569629,0.6247757325540059,23,49,2.054753022589755,0.019951432873572837,0.74926271894957,ENOG411CRY0,"125858515, 163916492, 56789660, 67678024, Xelaev18018012m.g, Xelaev18020799m.g, Xelaev18004235m.g, Xelaev18008634m.g","GenBank, Xenbase_9.1","tln2.L, tln2.S, tln1.S, Xelaev18008634m.g","LOC100037170 protein [Xenopus laevis], LOC496216 protein [Xenopus laevis], LOC733283 protein [Xenopus laevis], NA","Q9Y4G6, Q9Y490","TLN2, TLN1","KIAA0320, KIAA1027 TLN",K06271 talin,FALSE,FALSE,FALSE
ENOG411CPSC,158,23,211,51,1.273918216082759,1.6315932764593704,0.19284870357310382,0.5573888928241314,90.5,131,2.0545068791919867,0.019963329128531587,0.74926271894957,ENOG411CPSC,"147906687, Xelaev18017962m.g, Xelaev18016428m.g, Xelaev18014080m.g, Xelaev18014079m.g, Xelaev18017961m.g","GenBank, Xenbase_9.1","loc100498358.L, loc100489234.S, Xelaev18014080m.g, Xelaev18014079m.g, fam115a-like.L","hypothetical protein LOC494989 [Xenopus laevis], NA","A6NFQ2, Q9Y4C2, A0A1B0GVM2","TCAF2, TCAF1, TCAF2C","FAM115C FAM139A, FAM115A KIAA0738, NA","Family with sequence similarity 115, member",FALSE,FALSE,FALSE
ENOG411CQNX,11,1,21,6,1.3739683086310452,1.5279053254202792,0.6522803222104012,1.2492665974617996,6,13.5,2.051934524784141,0.020088013011560747,0.74926271894957,ENOG411CQNX,"Xelaev18016323m.g, Xelaev18007746m.g, Xelaev18014073m.g",Xenbase_9.1,"piwil4.S, piwil1.L, piwil3.L",NA,"Q96J94, Q7Z3Z4","PIWIL1, PIWIL4","HIWI, HIWI2 PIWI",piwi-like,FALSE,FALSE,FALSE
ENOG411CUF6,0,1,2,6,1.3606060871331798,1.5279053254202792,1.362773705015416,1.2492665974617996,0.5,4,2.0424860073512843,0.02055167301052531,0.74926271894957,ENOG411CUF6,"Xelaev18018579m.g, Xelaev18020310m.g",Xenbase_9.1,"nup133.L, nup133.S",NA,Q8WUM0,NUP133,NA,Nucleoporin 133kDa,FALSE,FALSE,FALSE
ENOG411CTE6,5,0,15,1,1.963484198030725,0.9074626683455742,1.1928487035731041,0.44191167540419546,2.5,8,2.03006599764095,0.021174915609755905,0.74926271894957,ENOG411CTE6,"283806581, 292630705, 37747653, 47937724, Xelaev18022858m.g","GenBank, Xenbase_9.1",ciapin1.L,"anamorsin [Xenopus laevis], RecName: Full=Anamorsin; AltName: Full=Cytokine-induced apoptosis inhibitor 1; AltName: Full=Fe-S cluster assembly protein DRE2 homolog, LOC398841 protein [Xenopus laevis], NA",Q6FI81,CIAPIN1,NA,May be required for the maturation of extramitochondrial Fe S proteins. Has anti-apoptotic effects in the cell. Involved in negative control of cell death upon cytokine withdrawal. Promotes development of hematopoietic cells (By similarity),FALSE,FALSE,FALSE
ENOG411CRRN,2,2,9,6,1.9292613130965959,0.9332432246547752,1.5147767984604663,0.6643040967406435,2,7.5,2.0240963698212577,0.021480118534754327,0.74926271894957,ENOG411CRRN,Xelaev18027262m.g,Xenbase_9.1,ufl1.L,NA,O94874,UFL1,KIAA0776 MAXER NLBP RCAD,Ufm1-specific ligase 1,FALSE,FALSE,FALSE
ENOG411CQNV,13,2,23,9,1.2393495396577587,1.616889898149603,0.555418782957812,1.1788772695704017,7.5,16,2.0196662751660375,0.02170900776607932,0.74926271894957,ENOG411CQNV,"148233638, Xelaev18004985m.g","GenBank, Xenbase_9.1",rpia.L,"ribose 5-phosphate isomerase A [Xenopus laevis], NA",P49247,RPIA,RPI,ribose 5-phosphate isomerase A,FALSE,FALSE,FALSE
