"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Abundance F19 Control"	"Abundance F20 Control"	"Abundance F21 Sample"	"Abundance F22 Sample"	"Abundance F23 Control"	"Abundance F24 Control"	"Abundance F25 Sample"	"Abundance F26 Sample"	"Found in Sample in S19 F19 Control"	"Found in Sample in S20 F20 Control"	"Found in Sample in S21 F21 Sample"	"Found in Sample in S22 F22 Sample"	"Found in Sample in S23 F23 Control"	"Found in Sample in S24 F24 Control"	"Found in Sample in S25 F25 Sample"	"Found in Sample in S26 F26 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG411DGHH"	"ENOG411DGHH"	"0.000"	"False"	"433.177"	"51"	"61"	"496"	"61"	"2357"	"260.8"	"6.95"	"1310.26"	"61"	"1815383916.21875"	"1749291744.28125"	"1977841774.6875"	"2050297737.0625"	"454869915.115234"	"454345007.125"	"527222925.03125"	"526939689.976563"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D10F"	"ENOG411D10F"	"0.000"	"False"	"410.577"	"62"	"40"	"301"	"36"	"3132"	"342.7"	"6.00"	"849.24"	"40"	"117863264.3125"	"155819353.6875"	"3625130757.78125"	"3788982800.125"	"35173857.2700195"	"33257407.6137695"	"915770884.984375"	"910828538.615234"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D7QW"	"ENOG411D7QW"	"0.000"	"False"	"410.380"	"70"	"40"	"523"	"20"	"1793"	"199.8"	"5.24"	"1494.18"	"40"	"6258574606.15625"	"6228007044.09375"	"7304082287.6875"	"7521114920.75"	"1434806133.79688"	"1444773555.31641"	"1832494817.2168"	"1807939823.74609"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQ4S"	"ENOG411CQ4S"	"0.000"	"False"	"405.302"	"18"	"45"	"549"	"45"	"5270"	"596.8"	"6.74"	"1504.49"	"45"	"19093651409.8652"	"18651139640.8906"	"19005660478.2813"	"19759575640.1719"	"2646664402.08984"	"2618975189.43555"	"2933394311.14844"	"2910093732.68164"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSMY"	"ENOG411CSMY"	"0.000"	"False"	"402.067"	"51"	"36"	"358"	"36"	"1302"	"139.9"	"8.76"	"994.37"	"36"	"1570530929.53125"	"1537285413.125"	"2192494977.625"	"2346953953.1875"	"360398592.404297"	"369493147.710938"	"568980289.398438"	"570130697.445313"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CY9P"	"ENOG411CY9P"	"0.000"	"False"	"398.473"	"52"	"44"	"409"	"44"	"2299"	"249.1"	"9.13"	"1183.03"	"44"	"2104058308.21875"	"2130777634.96875"	"2104973117.0625"	"2134613711.3125"	"428448212.074219"	"438865498.558594"	"481215814.445313"	"472696525.142578"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYQ7"	"ENOG411CYQ7"	"0.000"	"False"	"397.433"	"64"	"49"	"415"	"49"	"3170"	"351.0"	"5.35"	"1114.71"	"49"	"1442924817.375"	"1435745138.59375"	"1711815202.4375"	"1705069810.4375"	"335268498.710938"	"344498815.769531"	"424761592.167969"	"431124308.916016"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXCD"	"ENOG411CXCD"	"0.000"	"False"	"386.033"	"65"	"51"	"492"	"51"	"2514"	"273.7"	"5.64"	"1345.84"	"51"	"3191300519.84375"	"3168974727.375"	"3466232685.21875"	"3600553319.8125"	"727483149.28125"	"739572130.951172"	"866637076.289063"	"877363011.316406"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CT22"	"ENOG411CT22"	"0.000"	"False"	"383.318"	"49"	"59"	"398"	"57"	"3935"	"453.7"	"4.86"	"1105.62"	"59"	"2418966839.71875"	"2411275994.0625"	"2768945138.4375"	"2927858450.03125"	"506049309.640625"	"515462558.621094"	"646115410.162109"	"643129803.488281"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUSF"	"ENOG411CUSF"	"0.000"	"False"	"376.201"	"35"	"39"	"413"	"35"	"7124"	"780.6"	"5.81"	"1183.60"	"39"	"2100722500.71875"	"2087113496.15625"	"2379761038.125"	"2415524467.9375"	"551585722.847656"	"532594014.023438"	"682846425.34375"	"661569035.636719"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRW3"	"ENOG411CRW3"	"0.000"	"False"	"374.036"	"62"	"43"	"379"	"43"	"2187"	"234.4"	"7.25"	"1195.58"	"43"	"1787637391.20313"	"1763335673.21875"	"1525452958.25"	"1580013924.9375"	"352426952.65332"	"365757463.162109"	"353893535.048828"	"361616332.177734"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPNE"	"ENOG411CPNE"	"0.000"	"False"	"371.024"	"35"	"65"	"360"	"65"	"5487"	"615.7"	"8.35"	"918.30"	"65"	"440214231.875"	"405861446.21875"	"620942417.875"	"640426538"	"110168367.933594"	"116106929.164063"	"174010846.929688"	"173152596.054688"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYFE"	"ENOG411CYFE"	"0.000"	"False"	"369.511"	"53"	"48"	"326"	"48"	"2426"	"264.8"	"7.58"	"917.65"	"48"	"783349357.546875"	"802377301.9375"	"1126593626.625"	"1166827345.375"	"192451926.273438"	"196352724.109375"	"281458586.525391"	"279601966.080078"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR02"	"ENOG411CR02"	"0.000"	"False"	"368.589"	"38"	"41"	"329"	"41"	"3382"	"372.4"	"4.54"	"888.91"	"41"	"529947081.71875"	"528320589.375"	"687852456.75"	"712165592.3125"	"149740496.917969"	"152498553.673828"	"214818914.257813"	"214636149.710938"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term; N-Term; N-Term]; Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CPHJ"	"ENOG411CPHJ"	"0.000"	"False"	"367.834"	"49"	"41"	"358"	"41"	"4589"	"507.9"	"5.50"	"977.83"	"41"	"700711101.8125"	"690739206.46875"	"882568216.25"	"941578506.625"	"180681277.527344"	"181134272.410156"	"249514225.398438"	"248312257.359375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPSC"	"ENOG411CPSC"	"0.000"	"False"	"363.205"	"10"	"40"	"369"	"40"	"5554"	"618.7"	"7.02"	"998.64"	"40"	"1201511626.1875"	"1151888836.96875"	"1879543929.625"	"1929379547.125"	"285140671.304688"	"285725471.682617"	"524261024.402344"	"516689295.228516"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVY3"	"ENOG411CVY3"	"0.000"	"False"	"361.714"	"45"	"57"	"440"	"57"	"2968"	"336.2"	"5.71"	"1143.11"	"57"	"1750891953.3125"	"1743294819.0625"	"2237151055.625"	"2298597677.9375"	"367465812.931641"	"369312493.65625"	"501299518.589844"	"494590348.734375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZY6"	"ENOG411CZY6"	"0.000"	"False"	"342.602"	"60"	"43"	"371"	"42"	"1535"	"164.9"	"7.46"	"1079.17"	"43"	"2213145189.23438"	"2146172905.4375"	"2365135740.5"	"2424176357.28125"	"387323046.847656"	"399304782.414063"	"476077224.234375"	"482087794.847656"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CW58"	"ENOG411CW58"	"0.000"	"False"	"339.322"	"69"	"42"	"370"	"42"	"1910"	"211.1"	"6.62"	"1068.97"	"42"	"2641644107.5"	"2647652346.8125"	"2812150875.28125"	"3043606365.34375"	"528337879.398438"	"544514774.015625"	"647174850.703125"	"649582667.4375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWV7"	"ENOG411CWV7"	"0.000"	"False"	"327.019"	"31"	"41"	"352"	"41"	"2921"	"320.3"	"5.66"	"985.18"	"41"	"2311189014.01563"	"2305672945.96875"	"2633509007.1875"	"2862153488.75"	"300200498.212891"	"310044835.140625"	"448471195.921875"	"450624369.263672"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR85"	"ENOG411CR85"	"0.000"	"False"	"321.986"	"59"	"45"	"410"	"45"	"3084"	"353.5"	"8.27"	"1034.20"	"45"	"5187636493.59375"	"5150559243.76563"	"6508912409.84375"	"6756172168.0625"	"1068230917.63477"	"1077918204.24609"	"1372081736.15039"	"1364225522.29883"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CR9I"	"ENOG411CR9I"	"0.000"	"False"	"320.408"	"47"	"53"	"349"	"53"	"1805"	"197.4"	"8.10"	"889.32"	"53"	"1038223842.3125"	"1049571875.6875"	"1178300329.3125"	"1176777864.125"	"212396838.046875"	"215000589.082031"	"244666094.078125"	"241901406.921875"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQT7"	"ENOG411CQT7"	"0.000"	"False"	"318.865"	"35"	"56"	"313"	"56"	"1897"	"204.5"	"8.27"	"792.08"	"56"	"2748729358.78125"	"2761018887.90625"	"2525318052.65625"	"2619576844.1875"	"428034798.074219"	"444597624.761719"	"442763202.945313"	"432490998.574219"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU95"	"ENOG411CU95"	"0.000"	"False"	"310.603"	"39"	"38"	"270"	"38"	"7693"	"862.7"	"4.97"	"789.35"	"38"	"465300100.828125"	"441289210.21875"	"593569874.5625"	"615257012.4375"	"119721276.007813"	"117054124.126953"	"177446362.070313"	"179678539.007813"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVKP"	"ENOG411CVKP"	"0.000"	"False"	"308.985"	"60"	"41"	"353"	"40"	"2241"	"246.6"	"6.70"	"957.24"	"41"	"3104225439.53125"	"3019318293.21875"	"3117636038.9375"	"3154714473.90625"	"495216259.976563"	"510546496.71875"	"540405690.472656"	"547298562.761719"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CW1G"	"ENOG411CW1G"	"0.000"	"False"	"306.231"	"22"	"40"	"311"	"40"	"4974"	"538.0"	"8.10"	"839.57"	"40"	"1390235300.875"	"1390724167.5"	"1760663978.125"	"1771258725.5"	"214646813.296875"	"220532706.589844"	"312330841.855469"	"310918504.015625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQIB"	"ENOG411CQIB"	"0.000"	"False"	"305.694"	"57"	"36"	"318"	"36"	"3542"	"387.1"	"7.23"	"912.60"	"36"	"2322143025.8125"	"2302378369.75"	"2614853148.9375"	"2733109278.78125"	"428051302.8125"	"437224614.4375"	"561203623.722656"	"552617715.070313"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRHZ"	"ENOG411CRHZ"	"0.000"	"False"	"302.099"	"52"	"47"	"320"	"47"	"4501"	"498.2"	"5.33"	"780.20"	"47"	"2015924033.21875"	"2605122287.1875"	"2951301420.84375"	"2274420821.0625"	"358069717.574219"	"356150317.054688"	"438538743.546875"	"420811110.160156"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPX5"	"ENOG411CPX5"	"0.000"	"False"	"298.059"	"36"	"33"	"313"	"33"	"3246"	"360.3"	"5.06"	"873.21"	"33"	"1280932310.40625"	"1275197643.15625"	"1543175487.5625"	"1603135704.75"	"290287991.636719"	"292265318.882813"	"384581113.228516"	"380198925.949219"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUHN"	"ENOG411CUHN"	"0.000"	"False"	"297.787"	"32"	"32"	"288"	"32"	"4761"	"515.2"	"8.48"	"835.86"	"32"	"1270256516.71875"	"1225997820.15625"	"1488990067.125"	"1630486358.3125"	"243055861.738281"	"256143178.8125"	"344178487.808594"	"341839690.265625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWS7"	"ENOG411CWS7"	"0.000"	"False"	"289.383"	"51"	"31"	"315"	"31"	"3497"	"381.3"	"7.17"	"914.15"	"31"	"1625170128.75"	"1623641779.65625"	"1540051562.75"	"1662416106.9375"	"354829437.953125"	"355048911.058594"	"404757959.640625"	"401139175.375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR53"	"ENOG411CR53"	"0.000"	"False"	"289.370"	"38"	"31"	"341"	"31"	"5058"	"550.5"	"9.25"	"983.70"	"31"	"8849816328.875"	"8550662434.75"	"9601687260.34375"	"9971014754.65625"	"1529839973.82813"	"1568289929.07227"	"2023610027.35938"	"2019865947.97656"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTZS"	"ENOG411CTZS"	"0.000"	"False"	"287.532"	"28"	"60"	"272"	"44"	"10959"	"1266.8"	"5.47"	"692.56"	"60"	"267789105.6875"	"273198700.8125"	"372062867.9375"	"399826347.625"	"79315803.8515625"	"79464682.3515625"	"115136836.164063"	"117141839.976563"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU5H"	"ENOG411CU5H"	"0.000"	"False"	"276.418"	"49"	"50"	"327"	"50"	"3102"	"351.7"	"7.50"	"843.56"	"50"	"664196516"	"678543635.1875"	"783396590.0625"	"805606903.8125"	"141518160.669922"	"144977897.007813"	"181236780.811523"	"180485536.472656"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CRG5"	"ENOG411CRG5"	"0.000"	"False"	"276.250"	"48"	"34"	"360"	"8"	"9018"	"1003.6"	"5.22"	"997.83"	"34"	"3553334075.53125"	"3531515718.5"	"4179813536.9375"	"4359677430.1875"	"731679462.585938"	"734483244.4375"	"940134880.818359"	"938956373.3125"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPEN"	"ENOG411CPEN"	"0.000"	"False"	"273.957"	"70"	"22"	"311"	"11"	"2451"	"273.1"	"5.80"	"866.25"	"22"	"4665392853.03125"	"4623400104"	"5802511955.4375"	"6019676249.1875"	"849589420.871094"	"870444468.082031"	"1224679753.30469"	"1222646690.90234"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSB0"	"ENOG411CSB0"	"0.000"	"False"	"273.406"	"65"	"35"	"308"	"35"	"2229"	"241.3"	"6.76"	"891.12"	"35"	"2498906313.375"	"2455363966.46875"	"2565150965.53125"	"2658919539.90625"	"438005366.94043"	"492949311.96875"	"538805771.144531"	"551951547.966797"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term; N-Term]; Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CUU4"	"ENOG411CUU4"	"0.000"	"False"	"273.151"	"32"	"41"	"290"	"41"	"1581"	"180.0"	"6.52"	"701.93"	"41"	"535690842.75"	"517443930.40625"	"627840879.0625"	"641761594.6875"	"105185485.320313"	"104392975.078125"	"151801266.890625"	"153303864.859375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXAH"	"ENOG411CXAH"	"0.000"	"False"	"272.812"	"43"	"37"	"268"	"34"	"3299"	"364.2"	"5.16"	"798.02"	"37"	"813541739.125"	"817491184.09375"	"943391387.25"	"949613570.1875"	"211457278.796875"	"210073192.853516"	"260690461.689453"	"256705115.484375"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRCX"	"ENOG411CRCX"	"0.000"	"False"	"270.369"	"57"	"47"	"297"	"47"	"1005"	"112.2"	"6.06"	"779.14"	"47"	"1193819526.4375"	"999734512.65625"	"1437681192"	"1566464606"	"208273586.857422"	"210303909.639648"	"278084904.5"	"266989752.132813"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVYY"	"ENOG411CVYY"	"0.000"	"False"	"268.837"	"27"	"44"	"298"	"44"	"5007"	"554.4"	"6.06"	"762.36"	"44"	"776805638.625"	"768129527.3125"	"954758906.96875"	"989346453.875"	"192855858.34375"	"152663784.109375"	"214427536.421875"	"214468117.425781"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CZBS"	"ENOG411CZBS"	"0.000"	"False"	"268.259"	"28"	"50"	"249"	"50"	"4795"	"543.3"	"7.33"	"605.65"	"50"	"336626906.84375"	"324864163.75"	"358158270.46875"	"401599377.125"	"148609625.921875"	"149628118.707031"	"120826375.273438"	"120687421.730469"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYJA"	"ENOG411CYJA"	"0.000"	"False"	"265.515"	"35"	"51"	"224"	"50"	"6347"	"707.6"	"6.04"	"593.35"	"51"	"287648527.59375"	"302270580.59375"	"395773365.75"	"425288902.6875"	"56259482.34375"	"56772441.1640625"	"87913761.5253906"	"86386264.3710938"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQ47"	"ENOG411CQ47"	"0.000"	"False"	"264.514"	"41"	"57"	"236"	"57"	"3174"	"361.0"	"6.96"	"548.82"	"57"	"313314142.46875"	"304861615.6875"	"463298313.65625"	"484250839.9375"	"68401520.671875"	"68415126.109375"	"116371984.603516"	"114693833.914063"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPTV"	"ENOG411CPTV"	"0.000"	"False"	"261.595"	"20"	"39"	"181"	"39"	"12522"	"1384.4"	"5.00"	"520.49"	"39"	"84074654.375"	"96563743.46875"	"2144278772.4375"	"2257079743.3125"	"10952903.9433594"	"10714120.7548828"	"632201347.65625"	"611678251.179688"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYEZ"	"ENOG411CYEZ"	"0.000"	"False"	"259.065"	"33"	"56"	"224"	"56"	"7433"	"833.1"	"5.90"	"572.98"	"56"	"271061230.75"	"278716233"	"289620782.1875"	"275116809.8125"	"81132229.7578125"	"84289511.5507813"	"98701976.3085938"	"95985837.90625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYCD"	"ENOG411CYCD"	"0.000"	"False"	"255.519"	"61"	"25"	"291"	"25"	"1053"	"113.1"	"5.49"	"864.17"	"25"	"23102881151.125"	"22296693907.3125"	"2777908343"	"2795184790.0625"	"4185776781.86621"	"4134439321.4043"	"687967726.363281"	"683896501.017578"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CT17"	"ENOG411CT17"	"0.000"	"False"	"254.929"	"52"	"25"	"207"	"25"	"1289"	"141.0"	"7.27"	"636.19"	"25"	"596778029.75"	"629748735.25"	"693156026.8125"	"721381113.6875"	"127728434.320313"	"119864472.546875"	"152871843.125"	"153210009.765625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CRMA"	"ENOG411CRMA"	"0.000"	"False"	"254.452"	"48"	"37"	"281"	"37"	"1665"	"186.8"	"7.90"	"762.77"	"37"	"951767426.59375"	"937967482.03125"	"1313708145.875"	"1312194035.8125"	"235799163.306641"	"240522680.757813"	"360739574.664063"	"353484146.140625"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
