accession,description,number_of_unique_peptides,number_of_peptides,total_PSMs,ctrl_abundance,exp_abundance,mean_abundance,abundance_fc,abundance_log2fc,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,pval,fdr_bh,xl_id,xl_id_source,xenla_xen_base_gene_names,xenla_gen_bank_description,human_uni_prot_id,human_gene_names_primary,human_gene_names_synonyms,egg_nog_annotation
ENOG411CXU4,ENOG411CXU4,14,14,94,586349765.72265625,695533986.2343751,640941875.9785156,1.1862100522495358,0.24635950272211407,32,62,1.6365946131701847,0.7106970084357229,2.4231900133749584,0.007692438596658045,0.645483872385053,"148222725, 27769205, Xelaev18010995m.g, Xelaev18008331m.g","GenBank, Xenbase_9.1","oxct1.S, oxct1.L","3-oxoacid CoA transferase 1 [Xenopus laevis], MGC69180 protein [Xenopus laevis], NA",P55809,OXCT1,OXCT SCOT,Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity)
ENOG411CU1U,ENOG411CU1U,2,2,6,755238.75,755238.75,755238.75,NA,0,0,6,6.000846914957345,2.585166126351864,2.3566936998709918,0.009219224304652409,0.645483872385053,"148225835, Xelaev18020755m.g","GenBank, Xenbase_9.1",scamp2.S,"secretory carrier membrane protein 2 [Xenopus laevis], NA",O15127,SCAMP2,NA,Secretory carrier membrane protein 2
ENOG411CSJ2,ENOG411CSJ2,2,2,6,755238.75,6565972.375,3660605.5625,8.693902921427165,3.120003986166085,0,6,6.000846914957345,2.585166126351864,2.3566936998709918,0.009219224304652409,0.645483872385053,"116487835, 120577674, 148226096, Xelaev18029827m.g, Xelaev18027736m.g, Xelaev18019556m.g, Xelaev18027735m.g, Xelaev18029826m.g, Xelaev18019555m.g, Xelaev18019553m.g, Xelaev18001039m.g, Xelaev18001041m.g, Xelaev18019554m.g","GenBank, Xenbase_9.1","plscr1.S, plscr1.L, plscr3.L, plscr2.L, plscr2.S, Xelaev18019555m.g, loc100488434.L, loc100488434.S, plscr3.S, loc100489081.L","Plscr2 protein [Xenopus laevis], LOC100037052 protein [Xenopus laevis], phospholipid scramblase 1 [Xenopus laevis], NA","O15162, Q9NRY7, Q9NRY6","PLSCR1, PLSCR2, PLSCR3",NA,Phospholipid scramblase
ENOG411D1DH,ENOG411D1DH,4,4,13,27416883.1875,52620544.625,40018713.90625,1.9192752241433095,0.9405616088943102,2,11,3.4290553799756256,1.7778112042942602,2.3083907007117186,0.010488707874723478,0.645483872385053,"148231492, 148235883, Xelaev18039093m.g","GenBank, Xenbase_9.1",tbcb.L,"tubulin folding cofactor B [Xenopus laevis], uncharacterized protein LOC414650 [Xenopus laevis], NA",Q99426,TBCB,CG22 CKAP1,tubulin folding cofactor B
ENOG411CQ77,ENOG411CQ77,8,8,13,12354025.71875,20895182.25,16624603.984375,1.6913662579062696,0.758189102828767,2,11,3.4290553799756256,1.7778112042942602,2.3083907007117186,0.010488707874723478,0.645483872385053,"148234619, Xelaev18044865m.g, Xelaev18028448m.g","GenBank, Xenbase_9.1","cps1.L, cad.L","carbamoyl-phosphate synthase 1, mitochondrial [Xenopus laevis], NA","P27708, P31327","CAD, CPS1",NA,"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
ENOG411CSYG,ENOG411CSYG,6,6,13,755238.75,17541824.46875,9148531.609375,23.226859676824052,4.537722206635128,2,11,3.4290553799756256,1.7778112042942602,2.3083907007117186,0.010488707874723478,0.645483872385053,"148921625, Xelaev18047536m.g, Xelaev18045214m.g","GenBank, Xenbase_9.1","c16orf62.S, c16orf62.L","LOC100101331 protein [Xenopus laevis], NA",Q7Z3J2,VPS35L,C16orf62,Chromosome 16 open reading frame 62
ENOG411CTT5,ENOG411CTT5,9,9,25,83371414.15625,131467457.015625,107419435.5859375,1.5768888934669636,0.6570810123851433,6,19,2.449325271411161,1.2923843771240184,2.299938191169422,0.010725861007208612,0.645483872385053,148234433,GenBank,NA,dehydrogenase/reductase (SDR family) member 13 [Xenopus laevis],Q6UX07,DHRS13,SDR7C5,Dehydrogenase reductase (SDR family) member 13
ENOG411CW0Z,ENOG411CW0Z,10,10,22,44039108.3828125,88457659.328125,66248383.85546875,2.00861603643747,1.006201807341738,5,17,2.571791534981719,1.3627737050154163,2.2824164081163074,0.011232383761987933,0.645483872385053,"148229066, Xelaev18030721m.g, Xelaev18032859m.g","GenBank, Xenbase_9.1","cul2.L, cul2.S","cullin 2 [Xenopus laevis], NA",Q13617,CUL2,NA,Cullin 2
ENOG411CUJ8,ENOG411CUJ8,7,7,30,95323787,198885474.875,147104630.9375,2.0864202014445774,1.0610297434233922,8,22,2.1907853816510943,1.1314481589089607,2.2138700418074198,0.013418860055925923,0.645483872385053,"148228386, 27924448, Xelaev18012993m.g","GenBank, Xenbase_9.1",txndc9.L,"thioredoxin domain containing 9 [Xenopus laevis], Apacd-prov protein [Xenopus laevis], NA",O14530,TXNDC9,APACD,thioredoxin domain containing 9
147904348,147904348,6,6,9,103081806.7148438,201336967.7265625,152209387.22070315,1.953176551159245,0.9658223629316856,1,8,3.8576873024725784,1.9477362057365724,2.1889153666557024,0.014301495984279674,0.645483872385053,NA,NA,NA,NA,NA,NA,NA,NA
ENOG411CSSA,ENOG411CSSA,4,4,9,10614436.171875,16975887,13795161.5859375,1.5993206539769764,0.677459219321374,1,8,3.8576873024725784,1.9477362057365724,2.1889153666557024,0.014301495984279674,0.645483872385053,161611661,GenBank,NA,Echdc3 protein [Xenopus laevis],Q96DC8,ECHDC3,NA,Enoyl CoA hydratase domain containing 3
ENOG411D520,ENOG411D520,5,5,27,5357965241.8125,6103022476.625,5730493859.21875,1.1390560037602,0.1878386815155853,7,20,2.250317593109004,1.1701286270730202,2.1807717689908643,0.014600150822991272,0.645483872385053,"147903391, Xelaev18043695m.g","GenBank, Xenbase_9.1",rpl38.L,"ribosomal protein L38 [Xenopus laevis], NA",P63173,RPL38,NA,Ribosomal protein L38
ENOG411CPDJ,ENOG411CPDJ,3,3,5,6103338.796875,14629412.21875,10366375.5078125,2.3969523412726943,1.2612012240921424,0,5,5.143583069963437,2.362773705015416,2.1513446545633608,0.015724503062688428,0.645483872385053,"Xelaev18004870m.g, Xelaev18034732m.g",Xenbase_9.1,"dysf-like.L, myof.L",NA,O75923,DYSF,FER1L1,"Dysferlin, limb girdle muscular dystrophy 2B (Autosomal recessive)"
ENOG411CQ9I,ENOG411CQ9I,2,2,5,3024212.109375,6524377.578125,4774294.84375,2.157380944907784,1.109280946458534,0,5,5.143583069963437,2.362773705015416,2.1513446545633608,0.015724503062688428,0.645483872385053,"76780352, Xelaev18018064m.g, Xelaev18020756m.g","GenBank, Xenbase_9.1","mpi.L, mpi.S","LOC733350 protein [Xenopus laevis], NA",P34949,MPI,PMI1,mannose phosphate isomerase
ENOG411CU7K,ENOG411CU7K,2,2,5,755238.75,2743710.75,1749474.75,3.632905157475037,1.8611237024926006,0,5,5.143583069963437,2.362773705015416,2.1513446545633608,0.015724503062688428,0.645483872385053,"148230174, Xelaev18021157m.g","GenBank, Xenbase_9.1",rab21.S,"RAB21, member RAS oncogene family [Xenopus laevis], NA",Q9UL25,RAB21,KIAA0118,"RAB21, member RAS oncogene family"
ENOG411CQ4G,ENOG411CQ4G,2,2,5,755238.75,4129418.75,2442328.75,5.467699783677678,2.4509340307109957,0,5,5.143583069963437,2.362773705015416,2.1513446545633608,0.015724503062688428,0.645483872385053,169642713,GenBank,NA,LOC100158293 protein [Xenopus laevis],O75312,ZPR1,ZNF259,zinc finger protein 259
ENOG411CWUV,ENOG411CWUV,12,12,66,276095330.6484375,534094405.328125,405094867.98828125,1.9344564939716686,0.9519282828586059,22,44,1.6772553489011213,0.7461023445669219,2.150735410138948,0.015748544874020123,0.645483872385053,"147905658, Xelaev18024157m.g, Xelaev18033797m.g","GenBank, Xenbase_9.1","Xelaev18024157m.g, Xelaev18033797m.g","ribosomal protein L7 [Xenopus laevis], NA",P18124,RPL7,NA,Ribosomal protein L7
ENOG411CV4P,ENOG411CV4P,19,19,137,503294276.375,1277612706.398438,890453491.386719,2.538500369208452,1.3439764698982084,51,86,1.4342683560474971,0.5203149820018962,2.145799865618855,0.015944474687033264,0.645483872385053,"147898584, 148233066, 224829, 27694877, 313756, 65045, 65082",GenBank,NA,"60S ribosomal protein L4-B [Xenopus laevis], 60S ribosomal protein L4-A [Xenopus laevis], ribosomal protein L1b, Rpl4-b-prov protein [Xenopus laevis], L1a protein [Xenopus laevis], ribosomal protein L1 [Xenopus laevis], unnamed protein product [Xenopus laevis]",P36578,RPL4,RPL1,Ribosomal protein L4
ENOG411CUG1,ENOG411CUG1,4,4,12,9065540.4453125,32154852.125,20610196.28515625,3.546931627405208,1.826571520362146,2,10,3.1433007649776568,1.6522803222104012,2.124886532626043,0.016798040989843634,0.645483872385053,"112419036, 57033170, 76780301, Xelaev18030315m.g","GenBank, Xenbase_9.1",eif2b4.S,"LOC496301 protein [Xenopus laevis], NA",Q9UI10,EIF2B4,EIF2BD,"Eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa"
ENOG411CS4D,ENOG411CS4D,3,3,12,17812308.65820313,46642340.375,32227324.516601562,2.6185454827900556,1.3887656638767358,2,10,3.1433007649776568,1.6522803222104012,2.124886532626043,0.016798040989843634,0.645483872385053,"147900077, 147903341, 148230987, Xelaev18014793m.g, Xelaev18017538m.g","GenBank, Xenbase_9.1","rap1a.S, rap1b.L","RAP1A, member of RAS oncogene family [Xenopus laevis], ras-related protein Rap-1b precursor [Xenopus laevis], NA","P61224, P62834, A6NIZ1","RAP1B, RAP1A, NA",KREV1,member of RAS oncogene family
ENOG411D4DK,ENOG411D4DK,4,4,18,55811147.89648438,112382078.09375,84096612.99511719,2.0136134505276693,1.0097867585527074,4,14,2.571791534981719,1.3627737050154163,2.1093135669517777,0.01745876225367671,0.645483872385053,"148226202, Xelaev18029059m.g, Xelaev18043517m.g","GenBank, Xenbase_9.1","Xelaev18029059m.g, rps21.L","40S ribosomal protein S21 [Xenopus laevis], NA",P63220,RPS21,NA,ribosomal protein S21
ENOG411CPFH,ENOG411CPFH,6,6,15,12713417.68554688,16712410.578125,14712914.131835941,1.3145490057425182,0.39456792592237394,3,12,2.786107496230196,1.4782509224353524,2.105593189276036,0.017619852388003766,0.645483872385053,"134152544, 148223907, Xelaev18015311m.g","GenBank, Xenbase_9.1",por.S,"NADPH-P450 reductase [Xenopus laevis], P450 (cytochrome) oxidoreductase [Xenopus laevis], NA",P16435,POR,CYPOR,This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)
ENOG411DDN4,ENOG411DDN4,10,10,55,84983712.046875,152090763.48632818,118537237.76660159,1.789646037142253,0.8396742741060874,18,37,1.7145276899878128,0.7778112042942601,2.0572919742303104,0.019829074452958836,0.645483872385053,"147906893, 148233078",GenBank,NA,"phosphoglycerate mutase 1 (brain) [Xenopus laevis], MGC82549 protein [Xenopus laevis]","P18669, Q8N0Y7","PGAM1, PGAM4","PGAMA, PGAM3",PGAM
ENOG411CS84,ENOG411CS84,8,8,26,94943761.40625,101196788.1796875,98070274.79296875,1.0658603227934245,0.09201839042695249,7,19,2.143159612484766,1.0997392991816224,2.0335926238461606,0.02099634307825805,0.645483872385053,"148237378, Xelaev18031161m.g","GenBank, Xenbase_9.1",lars2.L,"leucyl-tRNA synthetase 2, mitochondrial [Xenopus laevis], NA",Q15031,LARS2,KIAA0028,"Leucyl-tRNA synthetase 2, mitochondrial"
ENOG411CUK8,ENOG411CUK8,7,7,8,23263654.03125,33063050.4765625,28163352.25390625,1.4212320399946199,0.5071421180009623,1,7,3.4290553799756256,1.7778112042942602,1.9815184520012694,0.02376658108738798,0.645483872385053,"Xelaev18037482m.g, Xelaev18035589m.g",Xenbase_9.1,"h6pd.S, h6pd.L",NA,O95479,H6PD,GDH,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
ENOG411CXWS,ENOG411CXWS,3,3,8,7382767.75,14079961.3125,10731364.53125,1.9071385948040964,0.9314096904105238,1,7,3.4290553799756256,1.7778112042942602,1.9815184520012694,0.02376658108738798,0.645483872385053,148236253,GenBank,NA,PITH domain-containing protein 1 [Xenopus laevis],Q9GZP4,PITHD1,C1orf128,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1
ENOG411D3SZ,ENOG411D3SZ,3,3,8,755238.75,11909043.75,6332141.25,15.768581458512292,3.978980976016455,1,7,3.4290553799756256,1.7778112042942602,1.9815184520012694,0.02376658108738798,0.645483872385053,"1169211, Xelaev18007211m.g","GenBank, Xenbase_9.1",dad1.L,"RecName: Full=Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad1; Short=Oligosaccharyl transferase subunit dad1; AltName: Full=Defender against cell death 1; Short=DAD-1, NA",P61803,DAD1,NA,Defender against cell death 1
ENOG411CQ47,ENOG411CQ47,57,57,236,754992404.9375,1178614972.111329,966803688.5244145,1.5610951373860475,0.6425584617569785,94,142,1.2904076824645117,0.36782693274170164,1.9797312978219024,0.02386686489054749,0.645483872385053,"147903725, Xelaev18025457m.g, Xelaev18023410m.g","GenBank, Xenbase_9.1","agl.S, agl.L","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Xenopus laevis], NA",P35573,AGL,GDE,"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
ENOG411CTE6,ENOG411CTE6,6,6,20,34961604.13671875,60179172.78125,47570388.458984375,1.7212932377449541,0.783492894358357,5,15,2.2860369199837507,1.1928487035731041,1.963484198030725,0.024794969417726638,0.645483872385053,"283806581, 292630705, 37747653, 47937724, Xelaev18022858m.g","GenBank, Xenbase_9.1",ciapin1.L,"anamorsin [Xenopus laevis], RecName: Full=Anamorsin; AltName: Full=Cytokine-induced apoptosis inhibitor 1; AltName: Full=Fe-S cluster assembly protein DRE2 homolog, LOC398841 protein [Xenopus laevis], NA",Q6FI81,CIAPIN1,NA,May be required for the maturation of extramitochondrial Fe S proteins. Has anti-apoptotic effects in the cell. Involved in negative control of cell death upon cytokine withdrawal. Promotes development of hematopoietic cells (By similarity)
ENOG411CWA4,ENOG411CWA4,20,20,49,37963443.07617188,77978343.234375,57970893.15527344,2.0540376982644877,1.0384626600398148,16,33,1.7145276899878128,0.7778112042942601,1.9526409535266682,0.025431077420010478,0.645483872385053,"152012986, Xelaev18010449m.g, Xelaev18007546m.g","GenBank, Xenbase_9.1","gcn1.S, gcn1.L","LOC100125671 protein [Xenopus laevis], NA",Q92616,GCN1,GCN1L1 KIAA0219,GCN1 general control of amino-acid synthesis 1-like 1 (Yeast)
ENOG411CSUR,ENOG411CSUR,5,5,17,8055785.15625,17620905.59375,12838345.375,2.187360418875992,1.129190957781384,4,13,2.400338765982938,1.263238031464502,1.9370907494874745,0.026367125600296214,0.645483872385053,"112419230, 148222005, 49119460, Xelaev18017489m.g","GenBank, Xenbase_9.1",metap2.L,"LOC443662 protein [Xenopus laevis], methionine aminopeptidase 2 [Xenopus laevis], NA",P50579,METAP2,MNPEP P67EIF2,Removes the N-terminal methionine from nascent proteins (By similarity)
ENOG411CQ5J,ENOG411CQ5J,2,2,11,755238.75,25983598.5,13369418.625,34.404482688421375,5.104524646181665,2,9,2.857546149979688,1.5147767984604663,1.9292613130965959,0.02684921495479088,0.645483872385053,"148223471, 148230452, Xelaev18046381m.g","GenBank, Xenbase_9.1",cox4i2.S,"uncharacterized protein LOC379593 [Xenopus laevis], cytochrome c oxidase subunit IV isoform 2 (lung) [Xenopus laevis], NA",Q96KJ9,COX4I2,COX4L2,cytochrome c oxidase subunit IV isoform 2 (lung)
ENOG411CRRN,ENOG411CRRN,4,4,11,5109915.046875,9102257.84375,7106086.4453125,1.7812933796847643,0.83292514842104,2,9,2.857546149979688,1.5147767984604663,1.9292613130965959,0.02684921495479088,0.645483872385053,Xelaev18027262m.g,Xenbase_9.1,ufl1.L,NA,O94874,UFL1,KIAA0776 MAXER NLBP RCAD,Ufm1-specific ligase 1
ENOG411CVQN,ENOG411CVQN,3,3,11,13137647.6328125,15526376.8125,14332012.22265625,1.1818232035483602,0.24101422972749967,2,9,2.857546149979688,1.5147767984604663,1.9292613130965959,0.02684921495479088,0.645483872385053,"148237836, 76780167, Xelaev18038715m.g, Xelaev18019580m.g, Xelaev18042091m.g","GenBank, Xenbase_9.1","lamp2.L, loc100496720.L, lamp2.S","lysosome-associated membrane glycoprotein 2 precursor [Xenopus laevis], LOC733384 protein [Xenopus laevis], NA",P13473,LAMP2,NA,Lysosomal-associated membrane protein 2
