"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT A2 Sequest HT"	"Number of Peptides by Search Engine A2 Sequest HT"	"Abundance F27 Control"	"Abundance F28 Control"	"Abundance F29 Sample"	"Abundance F30 Sample"	"Found in Sample in S27 F27 Control"	"Found in Sample in S28 F28 Control"	"Found in Sample in S29 F29 Sample"	"Found in Sample in S30 F30 Sample"	"Number of Protein Groups"	"Modifications"
"False"	"High"	"IsMasterProtein"	"ENOG411CRY0"	"ENOG411CRY0"	"0.000"	"False"	"201.311"	"13"	"47"	"119"	"47"	"10972"	"1176.1"	"6.28"	"252.58"	"47"	"21046536.0097656"	"20523004.4658203"	"55303511.671875"	"54952779.6445313"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXCD"	"ENOG411CXCD"	"0.000"	"False"	"197.795"	"48"	"36"	"165"	"36"	"2514"	"273.7"	"5.64"	"396.25"	"36"	"210819343.769531"	"212849733.796875"	"468998153.40625"	"485320785.335938"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR85"	"ENOG411CR85"	"0.000"	"False"	"197.657"	"40"	"35"	"233"	"35"	"3084"	"353.5"	"8.27"	"567.79"	"35"	"544553045.71875"	"612865651.554688"	"1186412365.89453"	"1142781703.52344"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term; N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CR9I"	"ENOG411CR9I"	"0.000"	"False"	"196.007"	"34"	"42"	"158"	"42"	"1805"	"197.4"	"8.10"	"346.40"	"42"	"120902093.473633"	"126331736.228516"	"259103436.195313"	"259652358.316406"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CY9P"	"ENOG411CY9P"	"0.000"	"False"	"195.413"	"35"	"30"	"155"	"30"	"2299"	"249.1"	"9.13"	"412.20"	"30"	"217853344.109375"	"213810863.339844"	"437826549.164063"	"450415513.4375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DGHH"	"ENOG411DGHH"	"0.000"	"False"	"189.906"	"29"	"39"	"207"	"39"	"2357"	"260.8"	"6.95"	"489.00"	"39"	"343701170.078125"	"344029043.9375"	"677905380.109375"	"688167290.734375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPDK"	"ENOG411CPDK"	"0.000"	"False"	"188.322"	"23"	"24"	"351"	"24"	"7651"	"858.7"	"5.03"	"894.57"	"24"	"590463098.441406"	"590911585.640625"	"1358437944"	"1355594955.82813"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CT22"	"ENOG411CT22"	"0.000"	"False"	"186.764"	"37"	"46"	"182"	"44"	"3935"	"453.7"	"4.86"	"452.50"	"46"	"253754478.833496"	"265092680.320313"	"663927627.125"	"666049524.515625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D10F"	"ENOG411D10F"	"0.000"	"False"	"184.170"	"34"	"28"	"137"	"24"	"3132"	"342.7"	"6.00"	"362.01"	"28"	"9983817.12890625"	"9841188.05761719"	"950068477.878906"	"954551126.003906"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPDR"	"ENOG411CPDR"	"0.000"	"False"	"181.809"	"19"	"47"	"162"	"47"	"6768"	"776.7"	"7.21"	"350.59"	"47"	"199530570.605469"	"206253449.535156"	"603050725.546875"	"604421421"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CVBZ"	"ENOG411CVBZ"	"0.000"	"False"	"174.425"	"16"	"37"	"118"	"37"	"6719"	"766.8"	"5.85"	"279.00"	"37"	"57913047.9648438"	"61203683.8212891"	"188426920.9375"	"191276916.46875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRCX"	"ENOG411CRCX"	"0.000"	"False"	"173.137"	"45"	"37"	"169"	"37"	"1005"	"112.2"	"6.06"	"392.95"	"37"	"154801699.8125"	"153906350.259766"	"351540489.170898"	"351621998.939453"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZBS"	"ENOG411CZBS"	"0.000"	"False"	"170.602"	"18"	"36"	"110"	"36"	"4795"	"543.3"	"7.33"	"253.28"	"36"	"36034804.4086914"	"37522469.0351563"	"91652369.78125"	"90662169.859375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWV7"	"ENOG411CWV7"	"0.000"	"False"	"169.814"	"22"	"28"	"116"	"28"	"2921"	"320.3"	"5.66"	"306.05"	"28"	"127422293.242188"	"137553372.917969"	"289966162.453125"	"279628604.28125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQ77"	"ENOG411CQ77"	"0.000"	"False"	"157.309"	"8"	"38"	"128"	"38"	"5226"	"575.9"	"6.57"	"280.62"	"38"	"56693724.2167969"	"55454981.390625"	"164318389.582031"	"167373242.828125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRW3"	"ENOG411CRW3"	"0.000"	"False"	"148.841"	"41"	"29"	"112"	"29"	"2187"	"234.4"	"7.25"	"276.82"	"29"	"209488669.21875"	"216946250.265625"	"394466079.726563"	"404123610.109375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQIB"	"ENOG411CQIB"	"0.000"	"False"	"144.125"	"34"	"23"	"108"	"23"	"3542"	"387.1"	"7.23"	"275.96"	"23"	"235404598.207031"	"237265631.859375"	"593491682.925781"	"606286003.015625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CR3X"	"ENOG411CR3X"	"0.000"	"False"	"140.738"	"20"	"31"	"131"	"31"	"3814"	"417.2"	"7.65"	"312.73"	"31"	"182145011.65625"	"185136396.453125"	"546594881.015625"	"555614174.3125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYQ7"	"ENOG411CYQ7"	"0.000"	"False"	"140.202"	"36"	"29"	"119"	"29"	"3170"	"351.0"	"5.35"	"267.94"	"29"	"87745329.3125"	"95663386.4511719"	"317108782.9375"	"305156902.335938"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVWA"	"ENOG411CVWA"	"0.000"	"False"	"140.177"	"14"	"35"	"90"	"35"	"5615"	"645.7"	"5.41"	"208.44"	"35"	"21455018.8320313"	"23097829.1171875"	"52319895.203125"	"50366289.9375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DCH8"	"ENOG411DCH8"	"0.000"	"False"	"138.583"	"13"	"27"	"74"	"27"	"5719"	"635.0"	"5.11"	"188.63"	"27"	"11707421.9394531"	"11891365.0771484"	"43507470.921875"	"42496589.0390625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZ0X"	"ENOG411CZ0X"	"0.000"	"False"	"138.351"	"17"	"32"	"86"	"32"	"3678"	"421.4"	"5.74"	"216.13"	"32"	"29202669.8789063"	"30014811.5429688"	"63898207.6796875"	"63092039.9921875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVY3"	"ENOG411CVY3"	"0.000"	"False"	"137.320"	"25"	"30"	"119"	"30"	"2968"	"336.2"	"5.71"	"261.08"	"30"	"100794726.636719"	"105583446.703125"	"308342522.546875"	"306773223.046875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPTV"	"ENOG411CPTV"	"0.000"	"False"	"135.958"	"13"	"28"	"85"	"28"	"12522"	"1384.4"	"5.00"	"212.04"	"28"	"3635891.39746094"	"3534348.24707031"	"580537783.898438"	"585687533.015625"	"Peak Found"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVKP"	"ENOG411CVKP"	"0.000"	"False"	"135.195"	"36"	"26"	"117"	"25"	"2241"	"246.6"	"6.70"	"268.99"	"26"	"181515531.859375"	"182115951.007813"	"391609453.828125"	"392196768.453125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVYY"	"ENOG411CVYY"	"0.000"	"False"	"133.873"	"20"	"32"	"91"	"32"	"5007"	"554.4"	"6.06"	"203.77"	"32"	"43415893.3632813"	"42691573.7382813"	"131273284.492188"	"129845810.59375"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CW58"	"ENOG411CW58"	"0.000"	"False"	"133.162"	"46"	"28"	"126"	"28"	"1910"	"211.1"	"6.62"	"284.20"	"28"	"161083896.761719"	"164349555.070313"	"380680611.3125"	"386134948.023438"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CW1G"	"ENOG411CW1G"	"0.000"	"False"	"122.134"	"12"	"24"	"93"	"24"	"4974"	"538.0"	"8.10"	"239.83"	"24"	"79657804.0078125"	"79185008.28125"	"221021013.90625"	"223530633.3125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQFY"	"ENOG411CQFY"	"0.000"	"False"	"121.693"	"36"	"25"	"102"	"25"	"1073"	"115.7"	"6.40"	"249.82"	"25"	"126837189.957031"	"128169789.539063"	"268687123.976563"	"299169494.832031"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CQ4S"	"ENOG411CQ4S"	"0.000"	"False"	"121.618"	"8"	"23"	"132"	"23"	"5270"	"596.8"	"6.74"	"339.97"	"23"	"431453827.980469"	"455038042.908203"	"874580922.286133"	"864345958.753906"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411DG9T"	"ENOG411DG9T"	"0.000"	"False"	"120.993"	"16"	"28"	"86"	"28"	"8464"	"956.1"	"6.13"	"204.67"	"28"	"32097322.6699219"	"34086735.9667969"	"87730310.34375"	"85662209.03125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPX5"	"ENOG411CPX5"	"0.000"	"False"	"118.281"	"19"	"19"	"99"	"19"	"3246"	"360.3"	"5.06"	"249.80"	"19"	"91701343.921875"	"92261813.3945313"	"234103871.628906"	"237010784.96875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CTF4"	"ENOG411CTF4"	"0.000"	"False"	"117.803"	"31"	"23"	"53"	"19"	"3207"	"354.5"	"6.54"	"126.81"	"23"	"5774969.31445313"	"6566827.84570313"	"233206268.703125"	"234239161.398438"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CY6E"	"ENOG411CY6E"	"0.000"	"False"	"117.329"	"31"	"21"	"77"	"21"	"1216"	"138.4"	"6.34"	"196.76"	"21"	"105374838.21875"	"179321931.439453"	"109334422.90625"	"109419412.609375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D7QW"	"ENOG411D7QW"	"0.000"	"False"	"116.595"	"38"	"23"	"140"	"10"	"1793"	"199.8"	"5.24"	"320.75"	"23"	"251328566.363281"	"269198932.589844"	"736427034.375"	"755431053.59375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRHZ"	"ENOG411CRHZ"	"0.000"	"False"	"114.483"	"25"	"23"	"93"	"23"	"4501"	"498.2"	"5.33"	"211.01"	"23"	"72946824.2265625"	"76928095.71875"	"129324759.851563"	"144479289.484375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CUHN"	"ENOG411CUHN"	"0.000"	"False"	"114.392"	"17"	"22"	"100"	"22"	"4761"	"515.2"	"8.48"	"261.31"	"22"	"161739854.539063"	"159948128.742188"	"395985302.515625"	"381906279.59375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYEZ"	"ENOG411CYEZ"	"0.000"	"False"	"114.373"	"18"	"30"	"80"	"30"	"7433"	"833.1"	"5.90"	"181.07"	"30"	"16341176.5761719"	"16526550.7617188"	"56038881.015625"	"55435959.875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXAH"	"ENOG411CXAH"	"0.000"	"False"	"113.827"	"30"	"23"	"86"	"20"	"3299"	"364.2"	"5.16"	"213.20"	"23"	"69337731.7363281"	"69065526.3046875"	"198677756.5625"	"200674638.75"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPD3"	"ENOG411CPD3"	"0.000"	"False"	"113.343"	"37"	"24"	"109"	"24"	"2213"	"239.7"	"9.25"	"249.09"	"24"	"354249073.908203"	"360226518.851563"	"462761492.4375"	"466377881.925781"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZ4D"	"ENOG411CZ4D"	"0.000"	"False"	"111.754"	"39"	"20"	"74"	"20"	"1063"	"120.7"	"6.15"	"167.95"	"20"	"41258683.5239258"	"41532919.0664063"	"99627041.7578125"	"101616252.484375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CZY6"	"ENOG411CZY6"	"0.000"	"False"	"111.700"	"35"	"26"	"85"	"25"	"1535"	"164.9"	"7.46"	"182.51"	"26"	"99495615.1132813"	"110220150.53125"	"269368428.554688"	"260300867.828125"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CVR3"	"ENOG411CVR3"	"0.000"	"False"	"110.629"	"23"	"33"	"75"	"33"	"6571"	"778.3"	"8.29"	"163.93"	"33"	"26391461.8359375"	"26630014.7109375"	"103585215.242188"	"104734250.617188"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPZP"	"ENOG411CPZP"	"0.000"	"False"	"110.578"	"16"	"22"	"63"	"22"	"4773"	"523.6"	"8.06"	"148.99"	"22"	"25236349.7695313"	"30682582.7421875"	"75725286.15625"	"74406686.9765625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSB0"	"ENOG411CSB0"	"0.000"	"False"	"110.167"	"33"	"20"	"98"	"20"	"2229"	"241.3"	"6.76"	"247.99"	"20"	"144393344.394531"	"144746249.566406"	"341003688.984375"	"356998837.171875"	"High"	"High"	"High"	"High"	"1"	"Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CUMH"	"ENOG411CUMH"	"0.000"	"False"	"109.079"	"38"	"21"	"69"	"18"	"2676"	"304.5"	"5.97"	"167.42"	"21"	"42862585.0234375"	"43415120.6835938"	"131758883.351563"	"135364885.359375"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CRNS"	"ENOG411CRNS"	"0.000"	"False"	"108.757"	"11"	"22"	"85"	"22"	"4094"	"449.9"	"5.35"	"194.44"	"22"	"45486793.8007813"	"45853507.2871094"	"146923532.078125"	"149375733.457031"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CXTK"	"ENOG411CXTK"	"0.000"	"False"	"107.026"	"13"	"30"	"70"	"30"	"5308"	"596.3"	"4.88"	"159.20"	"30"	"17115981.5878906"	"17107050.6484375"	"41073079.84375"	"41521303.9453125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYCD"	"ENOG411CYCD"	"0.000"	"False"	"106.993"	"41"	"17"	"129"	"17"	"1053"	"113.1"	"5.49"	"300.91"	"17"	"253975218.316406"	"256498857.011719"	"285400367.578125"	"288341662.734375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CU95"	"ENOG411CU95"	"0.000"	"False"	"106.690"	"15"	"16"	"62"	"16"	"7693"	"862.7"	"4.97"	"157.23"	"16"	"16328639.4960938"	"19146882.5996094"	"60320374.09375"	"55103347.71875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSSN"	"ENOG411CSSN"	"0.000"	"False"	"105.530"	"34"	"23"	"79"	"23"	"2011"	"218.0"	"6.14"	"198.52"	"23"	"35192865.0830078"	"40071538.8203125"	"118578490.46875"	"120358792.984375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPEN"	"ENOG411CPEN"	"0.000"	"False"	"105.228"	"36"	"14"	"157"	"4"	"2451"	"273.1"	"5.80"	"372.33"	"14"	"527084102.410156"	"524331580.96875"	"1213659985.21875"	"1227388800.15625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYMV"	"ENOG411CYMV"	"0.000"	"False"	"105.119"	"47"	"17"	"86"	"17"	"531"	"60.2"	"9.77"	"202.12"	"17"	"97143077.1582031"	"103902291.78125"	"263037804.875"	"249384905.780273"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CSC1"	"ENOG411CSC1"	"0.000"	"False"	"103.429"	"54"	"19"	"83"	"19"	"499"	"54.0"	"7.78"	"218.81"	"19"	"110725041.908203"	"110693176.845703"	"259080870.171875"	"262710635.304688"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CQT7"	"ENOG411CQT7"	"0.000"	"False"	"103.428"	"19"	"30"	"79"	"30"	"1897"	"204.5"	"8.27"	"188.56"	"30"	"28842217.5400391"	"30814983.0429688"	"78306189.984375"	"76710568.5058594"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CYFE"	"ENOG411CYFE"	"0.000"	"False"	"102.994"	"25"	"21"	"72"	"21"	"2426"	"264.8"	"7.58"	"178.08"	"21"	"48383895.5595703"	"49626693.8710938"	"165410097.640625"	"166954768.5"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWA4"	"ENOG411CWA4"	"0.000"	"False"	"102.681"	"11"	"31"	"72"	"31"	"6427"	"706.6"	"7.23"	"157.91"	"31"	"13686126.4296875"	"14655121.3671875"	"48501105.6640625"	"48980236.3671875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPBC"	"ENOG411CPBC"	"0.000"	"False"	"101.606"	"26"	"18"	"69"	"18"	"1287"	"143.5"	"9.17"	"180.99"	"18"	"54237589.890625"	"54948482.2265625"	"158544251.796875"	"161381717.640625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPHJ"	"ENOG411CPHJ"	"0.000"	"False"	"101.589"	"22"	"22"	"81"	"22"	"4589"	"507.9"	"5.50"	"187.60"	"22"	"31024360.1054688"	"35181946.53125"	"86029531.828125"	"81820115.4960938"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CWUJ"	"ENOG411CWUJ"	"0.000"	"False"	"101.137"	"5"	"29"	"62"	"29"	"13651"	"1580.9"	"5.57"	"122.07"	"29"	"11013761.71875"	"11528820.640625"	"26964395.6171875"	"26364101.8125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRGD"	"ENOG411CRGD"	"0.000"	"False"	"101.023"	"32"	"19"	"78"	"19"	"2434"	"264.0"	"8.32"	"185.96"	"19"	"54494327.7773438"	"69165803.8398438"	"139462555.351563"	"133180591.34375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CVZD"	"ENOG411CVZD"	"0.000"	"False"	"100.076"	"31"	"20"	"81"	"20"	"1720"	"186.8"	"7.11"	"195.29"	"20"	"47811914.640625"	"48401592.140625"	"144282664.0625"	"146643153.40625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRG5"	"ENOG411CRG5"	"0.000"	"False"	"99.131"	"26"	"20"	"101"	"3"	"9018"	"1003.6"	"5.22"	"230.64"	"20"	"162840294.998047"	"177313764.75"	"448996777.96875"	"453400868.65625"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPSC"	"ENOG411CPSC"	"0.000"	"False"	"98.546"	"5"	"21"	"74"	"21"	"5554"	"618.7"	"7.02"	"184.74"	"21"	"43382050.796875"	"44079970.2832031"	"143554393.601563"	"145202897.546875"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CUAG"	"ENOG411CUAG"	"0.000"	"False"	"95.340"	"15"	"24"	"71"	"24"	"4595"	"509.7"	"6.87"	"163.36"	"24"	"25853918.8320313"	"25604551.5625"	"50879605.03125"	"53165012.03125"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411D110"	"ENOG411D110"	"0.000"	"False"	"95.332"	"24"	"22"	"68"	"22"	"1988"	"220.5"	"5.71"	"156.48"	"22"	"31931001.1738281"	"32442499.59375"	"94448425.8984375"	"94797837.921875"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CV9A"	"ENOG411CV9A"	"0.000"	"False"	"95.218"	"12"	"23"	"87"	"23"	"3967"	"439.3"	"6.06"	"196.05"	"23"	"138512679.733398"	"141244618.962891"	"213447954.75"	"215375913.75"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CPUR"	"ENOG411CPUR"	"0.000"	"False"	"92.234"	"29"	"19"	"97"	"19"	"1065"	"115.8"	"6.95"	"235.04"	"19"	"123400931.269531"	"127839376.773438"	"303401697.75"	"306019938.84375"	"High"	"High"	"High"	"High"	"1"	""
"False"	"High"	"IsMasterProtein"	"ENOG411CRMA"	"ENOG411CRMA"	"0.000"	"False"	"92.048"	"28"	"22"	"67"	"22"	"1665"	"186.8"	"7.90"	"167.87"	"22"	"75615632.9492188"	"75680888.671875"	"218642345.71875"	"221965593.21875"	"High"	"High"	"High"	"High"	"1"	"Met-loss+Acetyl [N-Term; N-Term]"
"False"	"High"	"IsMasterProtein"	"ENOG411CX4B"	"ENOG411CX4B"	"0.000"	"False"	"91.846"	"14"	"25"	"63"	"25"	"5668"	"626.7"	"5.33"	"140.68"	"25"	"37181407.0234375"	"36996720.3046875"	"80688879.65625"	"80694635.7929688"	"High"	"High"	"High"	"High"	"1"	""
